"Feature","Feature.Systematic.Name","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3","buds"
"YIL089W","YIL089W",10.87918832,11.00028395,11.16788759,11.26586569,11.83275934,11.14365593,9.784812185,6.790061589,6.392546307,7.10289379,9.139884552,12.85794561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6666666666667
"MSS1","YMR023C",7.503717677,7.725884884,8.014688405,8.367431417,8.900422656,9.212221896,9.794450554,11.35713976,12.54078974,12.8368025,12.32698768,10.48484558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6333333333333
"SDS3","YIL084C",11.83080905,11.43176117,10.9146224,10.27913835,9.446437505,8.738482853,7.583833092,4.99997319,2.973632728,1.919860307,1.782221689,3.230678934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6235294117647
"YDR271C","YDR271C",18.05790083,18.18335724,18.4673959,18.85697589,19.88057863,19.86610173,20.25577193,22.65569544,23.69825704,23.66387448,22.59628825,19.90989423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6
"TPO4","YOR273C",77.79676829,78.57938779,80.08707353,84.93111408,86.65881357,110.3403499,142.8925118,194.6395541,201.293414,203.1258669,196.3002508,186.6675223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6
"YOR318C","YOR318C",5.344648041,5.169397902,5.008053746,4.959521814,4.902391578,5.459387178,6.245087473,7.186180353,8.403527009,9.245606382,9.766460548,9.646438993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6
"RPL6A","YML073C",1697.527443,1692.114794,1683.899587,1677.076419,1660.19546,1676.08299,1688.568208,1668.645706,1675.52131,1687.238613,1705.882666,1736.627026,86.68875596,86.59414757,86.29097881,85.67176738,84.34366276,82.27728775,83.46947554,86.76782079,93.47547854,97.70785277,98.80166842,93.97177639,35.5
"HBS1","YKR084C",36.18033096,36.76921523,37.3053881,37.60363823,38.03757844,36.72264078,35.1068629,33.77333454,33.89176853,34.520385,36.19448324,39.25010841,45.16519528,45.33913594,45.46925407,45.68877315,46.25111412,44.02238694,42.27868295,39.31927194,33.81756392,31.59242817,29.44164902,26.84511563,35.4615384615385
"SPG3","YDR504C",15.36415878,15.02623617,14.86523891,14.74525087,15.49183822,14.8347743,14.54461659,15.52542156,16.47751198,17.26631318,18.14228413,18.78227962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4
"YER085C","YER085C",1.320769155,1.47367713,1.728463541,2.064670944,2.73230936,3.157533667,3.326184253,2.577491836,2.784924372,3.017188099,3.204702409,3.164417519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4
"YLR112W","YLR112W",15.43510159,14.93738205,14.27292224,13.50473182,12.35969474,11.54456556,11.1399785,11.82445473,12.81487681,12.69085301,11.76100334,9.275510974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4
"YOR365C","YOR365C",4.585653899,4.475898087,4.416357184,4.47595507,4.653056611,5.243892896,5.891734804,6.405021098,6.534178422,6.974793616,7.644336042,8.826226648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4
"SGF11","YPL047W",68.03985931,68.57870515,68.84357296,68.71200597,67.87522071,66.48913848,64.75259686,60.9793323,65.98705985,69.53777059,72.9635417,74.0185517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3448275862069
"RAI1","YGL246C",57.98726291,58.10517966,57.72519854,57.00700475,54.7401061,53.60179148,53.86360777,58.00457781,64.01900369,63.20910002,56.76751889,40.31840222,16.51768999,16.99322953,17.43038234,17.91450353,18.34720192,18.13771457,16.83909421,15.20159208,14.18985453,13.60247254,13.57393504,14.47425653,35.3111111111111
"YDL177C","YDL177C",33.99860145,34.695543,35.18251054,35.32230621,35.10780703,33.64376746,31.8368397,29.66596097,31.39528304,32.03031009,32.45566367,31.73276968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"ASM4","YDL088C",36.23115244,35.40173702,34.42060469,33.45491958,32.12486963,31.80631154,31.83637557,33.03642849,30.97093941,29.86409663,29.53427009,31.31873548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"AVL9","YLR114C",32.54940354,32.72392528,32.84974479,32.95432355,32.9412617,32.92165891,32.97349417,33.7080293,33.52498808,32.21495064,29.78492516,25.84985764,4.984548465,5.022093604,5.069676497,5.153802054,5.350234216,5.207762002,5.086375038,4.970333387,5.0724756,4.762793239,4.184381026,3.183827666,35.2
"TRI1","YMR233W",28.25800909,28.16887478,28.13188292,28.20154306,28.60448881,29.13727416,29.06966552,26.86331722,25.75394719,25.28445867,25.3628549,26.47785175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"TYE7","YOR344C",200.2412443,194.5776184,185.5683322,174.3769705,152.8474699,142.3764218,135.5043577,135.6889252,141.9668635,140.2261334,133.7869102,117.3581859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"OYE3","YPL171C",1.17304014,1.885975838,2.94321724,4.280573787,6.570530105,8.157726522,9.25383722,8.934955058,9.114239944,10.05270576,11.42500461,13.56236953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"YPR050C","YPR050C",86.54520032,86.15720008,85.39240077,84.31082532,82.22744681,80.48293349,79.7304876,81.7501345,86.08212932,86.7275692,84.71791854,77.39326824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"YPR126C","YPR126C",64.65897226,62.48226767,58.74837695,53.86905638,43.60271583,38.20878086,37.63843146,50.59778225,59.0214976,61.32668023,59.91731357,51.73154625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"LYP1","YNL268W",124.9741151,118.5186445,109.7390231,99.9956184,82.68403075,77.30357755,76.2227117,83.28842451,86.17082501,87.07264709,87.48142739,87.02124648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1777777777778
