"Feature","buds","RLS","Sum","dev"
"ANB1",23.6666666666667,"7,21,21,44,43,23,21,25,16,21,27,14,19,29,24",2.42096762048169,-0.00879827336199787
"GLR1",22.8444444444444,"25,40,14,20,17,28,19,11,26,11,16,37,28,22,11,18,28,22,11,32,33,38,29,26,25,15,14,19,12,16,16,23,22,38,16,16,27,38,12,37,14,23,26,22,35",6.69761645703321,-0.0087102180435057
"THR4",3.12,"3,3,3,3,3,4,2,4,3,3,3,3,3,4,3,2,3,3,3,4,4,2,3,3,4",2.64108021095307,-0.00866534003486656
"TPI1",33.9,"40,38,28,47,36,36,36,44,42,45,22,21,29,40,47,26,15,24,33,42,34,36,34,42,35,40,57,44,35,35,34,47,21,47,43,40,41,52,40,43,34,30,32,32,21,10,31,6,24,39,20,28,29,21,33,23,41,36,22,31",0.788517547908135,-0.00844841586303913
"RPL6A",35.5,"16,19,20,25,29,31,32,34,34,36,36,40,43,43,46,49,51,51,54,56,8,29,32,32,33,35,37,38,39,40,40,41,44,44,45,46,47,51,54,70,3,10,13,15,17,20,20,21,23,24,24,26,27,28,28,28,29,30,31,31,31,33,33,33,34,34,35,39,39,40,43,44,45,46,46,49,50,52,56,60",3.00538728479362,-0.00830178270356092
"YRO2",25.8953488372093,"11,4,11,18,27,10,14,12,14,18,35,15,15,16,15,20,39,16,16,16,17,22,43,16,24,17,18,27,66,17,25,18,22,29,18,29,19,23,33,22,29,20,26,33,23,30,21,26,35,23,30,24,26,36,25,32,25,26,36,28,32,26,27,39,28,35,28,27,41,29,35,28,30,41,29,37,31,30,41,31,40,32,30,43,32,4",2.53973088046449,-0.00818037379910853
"CWH41",23.4,"14,34,10,38,21,14,34,10,38,21",4.47034339091017,-0.00813816142866067
"SAC1",15.8947368421053,"6,3,6,28,4,3,26,3,17,4,16,33,24,3,27,23,27,22,27",2.7115108117874,-0.00808657114958562
"RPL38",25.5142857142857,"25,23,18,23,24,30,38,37,36,26,33,43,29,33,27,28,19,33,9,7,22,18,24,41,22,17,39,15,27,18,30,36,13,17,13",2.61399688476311,-0.00808067419122541
"ADE17",25,"33,29,9,2,31,23,13,39,23,24,29,15,42,38,7,10,27,8,26,15,36,45,46,31,24",5.59899841536702,-0.00806562478940424
"LSB3",30.3488372093023,"39,38,52,38,32,40,32,47,38,29,32,24,31,43,32,41,36,40,29,31,16,31,35,37,26,24,23,26,39,26,37,28,25,36,16,21,36,26,23,30,45,29,23,32,22,10,19,22,30,18,43,11,36,14,40,33,30,46,33,34,35,49,39,37,24,28,27,28,38,42,37,18,33,33,26,19,35,26,19,36,4,26,36,43,16,1",5.71755397066731,-0.00797366727101868
"PMU1",21,"20,12,21,21,31",5.69907606451599,-0.00795180129997622
"MDM38",24.2386363636364,"13,13,24,12,12,31,9,21,7,16,6,9,10,6,25,19,26,22,30,28,21,24,34,44,30,31,28,30,37,34,33,22,46,2,32,36,46,31,48,26,20,13,14,6,12,18,16,18,20,13,20,14,22,14,20,18,22,36,11,11,26,13,13,12,31,34,31,31,37,42,43,25,41,27,36,26,32,30,34,3,29,42,39,31,27,19,19,48",2.4499979588453,-0.00789764363466462
"SDS23",27.8,"19,42,26,26,26,19,42,26,26,26",1.5712646811511,-0.00777346162734754
"YOP1",15.6,"22,16,14,14,12",5.31478377362201,-0.00769369109597696
"BLM10",28.702380952381,"31,22,35,19,30,36,11,57,26,25,28,28,16,32,23,29,49,14,31,28,24,47,23,21,24,25,14,37,15,55,26,29,18,53,21,3,27,33,33,54,11,28,20,32,26,28,36,13,19,20,29,52,25,31,26,14,24,28,17,27,33,17,35,5,8,17,51,48,56,18,46,49,50,46,50,26,48,21,19,26,16,6,44,18",3.9691148322838,-0.00765613951034934
"GRX3",27.1333333333333,"28,56,23,30,26,21,23,21,22,25,29,25,25,30,23",3.30538376468155,-0.00764872142627839
"GRX1",14,"9,15,13,15,18",2.34800323938336,-0.00764676347169734
"YER134C",25.2,"20,20,21,28,37",2.75074753071337,-0.00758468324690384
"IDP1",14.9550561797753,"5,3,8,4,9,5,10,6,10,7,10,8,11,8,12,10,12,10,13,10,14,11,14,11,14,13,15,13,15,13,15,14,15,15,15,15,16,15,16,15,16,16,16,16,16,16,17,16,17,16,17,16,18,17,18,17,18,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,20,21,2",3.90112125050904,-0.00757339370448851
"YOR283W",27.6,"45,24,18,22,29",2.96436360949442,-0.00754303236854505
"URA8",20.7532467532468,"15,11,25,16,15,27,12,21,2,1,30,1,6,1,20,4,1,22,1,18,14,3,8,13,31,14,28,26,2,4,5,12,22,24,8,26,23,26,26,22,24,14,39,32,37,29,31,39,22,24,23,19,23,22,21,25,20,36,29,34,20,26,29,38,18,18,16,33,30,18,17,38,26,24,26,32,60",8.02085348730913,-0.00745479649872278
"SCW4",27.8,"13,7,13,15,8,23,19,15,27,19,17,32,22,17,53,27,22,27,24,27,24,27,25,29,26,30,28,30,29,30,30,30,31,31,32,33,32,35,38,36,42,43,44,43,46",4.51957346385,-0.00741286686408479
