Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
FRA1,YLL029W,64.86,64.28,64.41,65.03,68.18,68.69,69.56,73.17,69.85,66.10,60.68,53.71,30.18,30.58,31.08,31.78,32.79,33.46,34.29,35.13,35.99,36.35,36.56,36.70,0.47,0.48,0.48,0.49,0.48,0.49,0.49,0.48,0.52,0.55,0.60,0.68,0.47,0.68,0.22,1.47,,,31.48
ADE12,YNL220W,507.96,500.91,491.19,480.40,461.27,456.74,453.50,447.16,442.44,432.83,418.88,398.42,2071.35,2077.98,2079.98,2076.67,2056.48,2037.24,2002.88,1959.49,1909.26,1850.76,1832.58,1892.90,4.08,4.15,4.23,4.32,4.46,4.46,4.42,4.38,4.32,4.28,4.38,4.75,4.08,4.75,0.67,1.17,,,31.40
PRS5,YOL061W,119.42,120.48,121.28,121.95,121.77,122.38,121.96,117.80,121.31,120.56,116.03,104.14,122.81,123.78,124.99,126.88,130.05,129.76,131.01,131.48,129.94,127.72,125.97,125.52,1.03,1.03,1.03,1.04,1.07,1.06,1.07,1.12,1.07,1.06,1.09,1.21,1.03,1.21,0.18,1.17,,,31.40
MGR3,YMR115W,17.27,17.79,18.71,19.78,22.53,22.40,21.93,21.93,21.61,20.80,19.43,17.15,1.82,1.80,1.78,1.74,1.62,1.81,1.91,2.01,1.93,1.96,1.91,1.73,0.11,0.10,0.10,0.09,0.07,0.08,0.09,0.09,0.09,0.09,0.10,0.10,0.07,0.11,0.03,1.47,,,31.40
SPA2,YLL021W,20.18,20.66,21.19,21.74,22.46,22.73,22.63,21.72,21.67,21.75,22.00,22.51,68.76,68.80,68.71,68.47,67.77,66.87,66.83,67.28,68.57,69.78,70.99,71.97,3.41,3.33,3.24,3.15,3.02,2.94,2.95,3.10,3.16,3.21,3.23,3.20,2.94,3.41,0.46,1.16,,,31.40
PSP2,YML017W,19.74,19.21,18.68,18.14,17.63,17.14,17.09,18.41,17.97,17.32,16.33,14.91,90.59,89.13,86.51,81.67,72.19,66.63,64.98,64.39,60.11,52.36,45.85,42.76,4.59,4.64,4.63,4.50,4.09,3.89,3.80,3.50,3.34,3.02,2.81,2.87,2.81,4.64,1.83,1.65,,,31.37
ADH4,YGL256W,58.17,57.77,56.94,55.65,53.30,50.73,48.60,47.19,52.16,57.41,64.45,72.37,91.29,93.84,97.71,104.02,115.46,118.38,125.36,142.63,188.04,237.25,280.40,304.55,1.57,1.62,1.72,1.87,2.17,2.33,2.58,3.02,3.60,4.13,4.35,4.21,1.57,4.35,2.78,2.77,,,31.34
HNT1,YDL125C,336.75,325.55,317.07,311.24,311.70,316.03,322.36,334.46,292.96,260.21,222.14,184.58,240.44,240.34,245.06,255.09,274.91,320.55,357.06,397.46,434.69,460.25,473.00,467.80,0.71,0.74,0.77,0.82,0.88,1.01,1.11,1.19,1.48,1.77,2.13,2.53,0.71,2.53,1.82,3.55,,,31.20
LRG1,YDL240W,10.84,10.50,9.99,9.38,8.40,7.63,7.06,7.14,7.37,7.38,7.43,7.43,0.75,0.85,0.95,1.10,1.32,1.26,1.23,1.26,1.64,1.79,1.59,0.76,0.07,0.08,0.10,0.12,0.16,0.16,0.17,0.18,0.22,0.24,0.21,0.10,0.07,0.24,0.17,3.50,,,31.20
RPL1B,YGL135W,1590.80,1584.66,1576.76,1571.49,1557.93,1577.09,1596.56,1595.01,1619.70,1622.90,1603.50,1544.10,1528.87,1551.45,1587.68,1648.79,1760.19,1823.84,1858.99,1860.84,1808.79,1812.36,1816.10,1816.84,0.96,0.98,1.01,1.05,1.13,1.16,1.16,1.17,1.12,1.12,1.13,1.18,0.96,1.18,0.22,1.22,,,31.13
ERV41,YML067C,67.67,68.04,68.49,68.92,69.79,69.46,68.80,67.97,67.61,69.00,72.39,79.02,5.29,5.56,5.90,6.40,7.21,7.55,7.65,7.50,7.05,6.75,7.18,8.90,0.08,0.08,0.09,0.09,0.10,0.11,0.11,0.11,0.10,0.10,0.10,0.11,0.08,0.11,0.03,1.44,,,31.02
DPH1,YIL103W,44.31,44.68,44.83,44.98,44.41,45.29,45.21,41.14,42.30,45.29,50.53,58.89,3.86,3.78,3.77,3.84,4.12,4.64,5.12,5.46,5.09,5.21,5.57,6.37,0.09,0.08,0.08,0.09,0.09,0.10,0.11,0.13,0.12,0.11,0.11,0.11,0.08,0.13,0.05,1.58,,,31.00
NBP2,YDR162C,37.67,37.67,37.70,37.65,37.86,37.12,36.97,38.89,40.53,41.09,40.96,39.42,3.62,3.31,2.94,2.40,1.57,1.14,1.18,1.68,2.85,3.27,2.94,1.31,0.10,0.09,0.08,0.06,0.04,0.03,0.03,0.04,0.07,0.08,0.07,0.03,0.03,0.10,0.07,3.14,,,31.00
BPT1,YLL015W,16.52,16.53,16.76,17.17,18.24,18.92,19.26,18.71,17.39,16.71,16.14,16.00,12.29,12.12,11.75,11.03,9.72,8.67,7.49,6.42,6.00,5.83,5.74,5.65,0.74,0.73,0.70,0.64,0.53,0.46,0.39,0.34,0.35,0.35,0.36,0.35,0.34,0.74,0.40,2.17,,,30.99
GND1,YHR183W,800.53,796.07,790.69,785.40,776.00,775.89,781.29,801.73,798.87,795.81,791.78,790.60,2934.52,2984.54,3064.35,3193.04,3406.72,3612.93,3753.45,3868.90,3952.44,4047.33,4084.64,4031.60,3.67,3.75,3.88,4.07,4.39,4.66,4.80,4.83,4.95,5.09,5.16,5.10,3.67,5.16,1.49,1.41,,,30.92
GSH1,YJL101C,18.48,16.78,15.26,14.65,14.15,18.54,24.11,30.80,30.17,29.05,26.21,22.54,32.44,27.08,22.48,18.05,15.37,22.98,25.89,27.68,20.79,17.57,16.63,20.51,1.76,1.61,1.47,1.23,1.09,1.24,1.07,0.90,0.69,0.60,0.63,0.91,0.60,1.76,1.15,2.90,,,30.83
YPR1,YDR368W,64.61,63.32,62.43,61.41,62.21,59.45,55.42,49.30,37.83,38.25,49.45,79.30,383.13,391.56,400.47,410.60,418.70,431.91,420.07,397.16,358.97,341.61,348.44,398.24,5.93,6.18,6.41,6.69,6.73,7.27,7.58,8.06,9.49,8.93,7.05,5.02,5.02,9.49,4.47,1.89,,,30.80
ARL1,YBR164C,116.45,115.74,114.23,111.88,107.93,103.39,98.47,92.44,93.79,97.84,106.71,121.84,42.13,42.46,42.86,43.52,45.03,44.13,43.73,42.36,39.79,38.92,38.38,38.12,0.36,0.37,0.38,0.39,0.42,0.43,0.44,0.46,0.42,0.40,0.36,0.31,0.31,0.46,0.15,1.46,,,30.80
VPS1,YKR001C,56.60,55.97,55.55,55.14,55.78,54.42,53.02,52.70,50.34,48.91,48.04,48.20,607.94,615.57,622.81,630.24,633.37,640.47,641.87,632.98,599.02,570.95,564.30,601.37,10.74,11.00,11.21,11.43,11.35,11.77,12.11,12.01,11.90,11.67,11.75,12.48,10.74,12.48,1.74,1.16,,,30.80
MSH6,YDR097C,7.85,8.00,8.16,8.35,8.52,8.82,9.23,10.03,10.23,10.18,9.91,9.45,1.81,1.75,1.71,1.69,1.71,1.89,2.24,2.53,2.39,2.40,2.55,2.96,0.23,0.22,0.21,0.20,0.20,0.21,0.24,0.25,0.23,0.24,0.26,0.31,0.20,0.31,0.11,1.56,,,30.65
YNR029C,YNR029C,32.39,32.63,32.62,32.39,31.41,30.74,29.96,28.90,29.56,30.89,33.44,37.71,19.11,19.36,19.07,18.02,15.25,11.23,9.90,9.48,10.37,10.84,12.12,14.42,0.59,0.59,0.58,0.56,0.49,0.37,0.33,0.33,0.35,0.35,0.36,0.38,0.33,0.59,0.27,1.81,,,30.60
MET18,YIL128W,15.61,15.17,14.60,14.06,13.05,13.24,13.71,14.47,14.84,14.74,14.16,12.93,3.43,3.44,3.51,3.66,3.87,4.56,4.89,5.19,5.36,5.49,5.81,6.56,0.22,0.23,0.24,0.26,0.30,0.34,0.36,0.36,0.36,0.37,0.41,0.51,0.22,0.51,0.29,2.31,,,30.60
CAR1,YPL111W,85.89,89.07,93.44,97.52,105.79,102.98,100.16,101.06,105.64,116.44,135.02,163.74,80.06,79.71,79.65,79.71,79.65,83.36,86.45,89.02,86.09,84.04,82.43,82.35,0.93,0.89,0.85,0.82,0.75,0.81,0.86,0.88,0.81,0.72,0.61,0.50,0.50,0.93,0.43,1.85,,,30.58
RMT2,YDR465C,103.45,104.40,104.75,104.81,102.72,102.69,104.11,110.36,115.91,111.18,96.95,67.40,35.08,34.44,33.74,32.78,31.26,31.80,32.34,33.35,34.33,34.17,33.33,31.63,0.34,0.33,0.32,0.31,0.30,0.31,0.31,0.30,0.30,0.31,0.34,0.47,0.30,0.47,0.17,1.58,,,30.57
RKM1,YPL208W,17.95,18.02,18.12,18.23,18.42,18.47,18.55,18.75,18.57,18.70,19.15,20.23,5.90,5.81,5.70,5.54,5.25,5.30,5.19,4.99,4.34,4.12,4.77,6.92,0.33,0.32,0.31,0.30,0.29,0.29,0.28,0.27,0.23,0.22,0.25,0.34,0.22,0.34,0.12,1.55,,,30.57
MNN1,YER001W,71.37,71.03,70.52,69.95,68.74,68.51,68.67,69.93,69.05,69.06,69.96,72.85,12.10,12.01,11.94,11.98,12.36,11.83,11.00,10.12,9.87,10.07,10.11,9.56,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.14,0.14,0.15,0.14,0.13,0.13,0.18,0.05,1.37,,,30.54
AIM45,YPR004C,135.98,136.80,137.91,139.05,141.60,141.27,139.29,134.42,130.21,127.39,125.53,125.69,213.42,211.04,209.40,208.51,209.16,215.98,220.59,222.58,213.88,208.03,206.17,212.94,1.57,1.54,1.52,1.50,1.48,1.53,1.58,1.66,1.64,1.63,1.64,1.69,1.48,1.69,0.22,1.15,,,30.48
TUB3,YML124C,95.14,92.47,88.81,84.54,76.95,73.59,72.09,74.50,75.12,77.25,81.63,89.37,29.20,29.41,29.61,29.74,29.68,30.24,29.55,28.82,27.97,28.84,32.28,39.90,0.31,0.32,0.33,0.35,0.39,0.41,0.41,0.39,0.37,0.37,0.40,0.45,0.31,0.45,0.14,1.45,,,30.42
CGI121,YML036W,45.90,45.65,45.11,44.24,42.70,40.70,39.20,39.77,41.05,41.82,42.81,43.69,28.56,27.35,25.77,23.27,19.03,18.39,18.89,19.95,19.34,15.94,11.22,5.24,0.62,0.60,0.57,0.53,0.45,0.45,0.48,0.50,0.47,0.38,0.26,0.12,0.12,0.62,0.50,5.19,,,30.40
MTF2,YDL044C,10.25,10.35,10.36,10.29,10.00,9.73,9.39,9.03,9.10,8.99,8.84,8.60,2.44,2.41,2.34,2.18,1.82,1.80,1.98,2.17,2.07,1.65,1.13,0.59,0.24,0.23,0.23,0.21,0.18,0.19,0.21,0.24,0.23,0.18,0.13,0.07,0.07,0.24,0.17,3.49,,,30.40
SEC28,YIL076W,110.39,108.23,105.67,102.79,99.09,96.28,93.67,91.25,88.38,84.56,79.70,73.04,45.76,42.01,38.82,34.80,28.49,42.65,53.48,65.09,64.28,68.57,82.20,113.47,0.41,0.39,0.37,0.34,0.29,0.44,0.57,0.71,0.73,0.81,1.03,1.55,0.29,1.55,1.27,5.40,,,30.40
SYH1,YPL105C,54.86,54.17,52.95,51.43,48.22,47.12,46.50,46.64,47.49,47.53,47.33,46.70,6.33,6.76,7.25,7.82,8.33,9.36,9.61,9.27,7.39,6.22,6.15,8.28,0.12,0.12,0.14,0.15,0.17,0.20,0.21,0.20,0.16,0.13,0.13,0.18,0.12,0.21,0.09,1.79,,,30.38
GCV2,YMR189W,333.83,329.70,325.05,320.18,313.82,311.14,309.55,309.24,302.61,297.52,293.30,291.70,752.99,749.55,748.63,749.69,754.80,779.21,793.30,801.46,777.36,765.27,762.83,780.61,2.26,2.27,2.30,2.34,2.41,2.50,2.56,2.59,2.57,2.57,2.60,2.68,2.26,2.68,0.42,1.19,,,30.36
LSB3,YFR024C-A,64.90,62.71,60.65,58.56,57.40,54.59,52.85,56.14,50.73,46.99,44.16,44.01,97.31,99.30,102.02,106.33,114.12,115.10,117.17,117.53,116.23,114.21,107.96,94.59,1.50,1.58,1.68,1.82,1.99,2.11,2.22,2.09,2.29,2.43,2.44,2.15,1.50,2.44,0.95,1.63,,,30.35
LAP3,YNL239W,116.24,115.51,115.91,117.10,122.73,123.95,122.52,114.79,105.70,105.78,113.23,133.58,351.07,359.44,370.07,385.13,407.33,424.31,423.07,413.21,401.47,390.49,372.40,344.63,3.02,3.11,3.19,3.29,3.32,3.42,3.45,3.60,3.80,3.69,3.29,2.58,2.58,3.80,1.22,1.47,,,30.30
FUM1,YPL262W,95.77,95.82,96.48,97.15,99.79,98.50,96.84,96.62,90.46,87.78,87.44,91.82,461.56,453.62,443.44,428.72,405.08,392.21,394.67,400.23,389.39,372.27,369.10,393.23,4.82,4.73,4.60,4.41,4.06,3.98,4.08,4.14,4.30,4.24,4.22,4.28,3.98,4.82,0.84,1.21,,,30.28
GLT1,YDL171C,66.78,66.90,66.68,66.14,64.59,63.24,61.99,61.05,63.47,66.32,70.48,75.86,1547.61,1558.83,1585.63,1635.74,1731.35,1843.97,1890.73,1899.14,1828.97,1832.44,1852.04,1901.87,23.18,23.30,23.78,24.73,26.81,29.16,30.50,31.11,28.82,27.63,26.28,25.07,23.18,31.11,7.93,1.34,,,30.25
YBT1,YLL048C,27.21,26.90,26.56,26.28,25.89,26.10,26.26,25.89,25.62,25.40,25.13,24.82,54.10,54.83,56.14,58.30,62.05,66.41,68.74,69.20,64.76,63.45,62.79,63.64,1.99,2.04,2.11,2.22,2.40,2.54,2.62,2.67,2.53,2.50,2.50,2.56,1.99,2.67,0.68,1.34,,,30.24
CKI1,YLR133W,27.43,28.89,30.89,32.98,37.34,37.17,35.34,30.86,28.70,27.35,26.60,26.68,53.06,55.29,57.30,59.25,60.14,58.32,59.74,60.96,60.26,59.96,60.26,61.68,1.93,1.91,1.86,1.80,1.61,1.57,1.69,1.98,2.10,2.19,2.27,2.31,1.57,2.31,0.74,1.47,,,30.20
MSN5,YDR335W,18.19,17.89,17.87,18.19,19.38,20.57,21.87,23.51,22.68,21.61,19.66,16.82,22.68,23.49,24.27,25.22,26.20,25.40,25.30,25.11,25.38,26.07,26.59,26.65,1.25,1.31,1.36,1.39,1.35,1.23,1.16,1.07,1.12,1.21,1.35,1.58,1.07,1.58,0.52,1.48,,,30.16
CRN1,YLR429W,77.85,76.08,73.84,71.41,67.53,65.82,65.07,67.08,64.83,62.30,59.27,56.12,193.74,197.14,199.53,201.89,204.74,187.74,179.38,170.53,167.32,149.67,122.94,82.35,2.49,2.59,2.70,2.83,3.03,2.85,2.76,2.54,2.58,2.40,2.07,1.47,1.47,3.03,1.56,2.07,1.90,,30.10
CPA2,YJR109C,200.54,198.77,196.97,194.70,193.17,187.42,184.39,190.61,199.31,204.90,209.09,207.74,6104.66,6080.26,6058.61,6039.12,6034.68,6009.60,6074.74,6169.29,6260.92,6348.53,6375.83,6283.16,30.44,30.59,30.76,31.02,31.24,32.07,32.94,32.37,31.41,30.98,30.49,30.25,30.25,32.94,2.70,1.09,2.34,,30.00
PPH22,YDL188C,43.90,42.74,41.41,39.86,38.08,36.04,34.85,36.78,34.73,31.87,28.15,23.54,13.74,13.21,12.89,12.72,12.98,15.15,15.77,16.60,17.46,20.64,26.10,34.98,0.31,0.31,0.31,0.32,0.34,0.42,0.45,0.45,0.50,0.65,0.93,1.49,0.31,1.49,1.18,4.81,1.95,,29.92
MET16,YPR167C,124.94,116.67,105.86,93.58,73.99,64.28,60.69,67.97,82.13,92.81,104.40,113.10,98.03,94.42,89.95,83.77,75.31,68.89,65.67,64.58,64.17,62.76,64.34,70.81,0.78,0.81,0.85,0.90,1.02,1.07,1.08,0.95,0.78,0.68,0.62,0.63,0.62,1.08,0.47,1.76,-2.13,,29.89
ARG1,YOL058W,706.53,713.74,721.29,730.02,740.36,752.42,756.04,735.33,732.57,717.18,688.37,640.21,2254.99,2262.41,2272.14,2287.19,2308.36,2317.71,2358.77,2390.77,2376.61,2363.59,2335.15,2287.71,3.19,3.17,3.15,3.13,3.12,3.08,3.12,3.25,3.24,3.30,3.39,3.57,3.08,3.57,0.49,1.16,,,29.87
PHO88,YBR106W,741.07,750.94,763.12,780.03,802.12,836.10,860.83,840.07,888.50,909.26,903.46,844.27,595.27,593.54,588.39,578.39,563.59,532.61,506.37,485.89,492.97,459.65,407.12,326.12,0.80,0.79,0.77,0.74,0.70,0.64,0.59,0.58,0.55,0.51,0.45,0.39,0.39,0.80,0.42,2.08,,,29.82
SUR2,YDR297W,170.42,177.35,184.16,190.32,195.71,197.44,195.90,188.12,187.91,193.85,207.75,235.13,4.18,4.37,4.64,5.05,5.73,6.25,6.42,6.19,4.91,4.78,5.99,9.46,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.02,0.04,0.02,1.64,,,29.80
EDC3,YEL015W,48.43,46.88,45.18,43.43,41.38,40.17,39.84,41.88,40.19,37.79,34.46,30.12,3.86,4.26,4.72,5.38,6.35,6.65,6.55,6.01,5.10,4.48,3.92,3.52,0.08,0.09,0.10,0.12,0.15,0.17,0.16,0.14,0.13,0.12,0.11,0.12,0.08,0.17,0.09,2.08,,,29.80
MRPS9,YBR146W,59.20,58.58,57.67,56.05,54.54,49.24,43.85,41.09,38.14,33.85,28.82,22.15,7.76,7.85,7.96,8.13,8.44,8.34,8.12,7.74,7.28,7.30,7.48,7.85,0.13,0.13,0.14,0.15,0.15,0.17,0.19,0.19,0.19,0.22,0.26,0.35,0.13,0.35,0.22,2.70,,,29.71
APT1,YML022W,213.75,214.93,214.25,212.41,204.83,202.05,200.07,200.09,212.15,205.63,183.31,133.14,82.91,80.41,76.88,71.60,63.49,56.20,52.91,52.30,57.94,54.54,44.90,25.12,0.39,0.37,0.36,0.34,0.31,0.28,0.26,0.26,0.27,0.27,0.24,0.19,0.19,0.39,0.20,2.06,,,29.60
PHO13,YDL236W,221.89,221.44,219.72,216.81,209.88,205.14,200.44,198.11,189.61,184.20,182.45,188.84,135.26,136.91,138.75,140.95,142.79,146.75,152.60,156.20,151.41,141.54,129.61,117.66,0.61,0.62,0.63,0.65,0.68,0.72,0.76,0.79,0.80,0.77,0.71,0.62,0.61,0.80,0.19,1.31,,,29.60
APT2,YDR441C,64.48,66.89,69.62,72.26,76.66,76.53,73.23,59.63,69.20,78.56,89.58,98.27,3.15,3.03,2.89,2.71,2.50,2.14,2.00,2.27,3.71,4.37,4.04,1.90,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.06,0.05,0.02,0.02,0.06,0.04,2.87,,,29.60
PEX11,YOL147C,82.88,85.24,88.18,91.00,95.87,94.79,93.46,94.86,95.12,98.31,104.85,116.64,54.66,54.66,54.80,55.09,55.50,56.58,58.66,60.61,60.52,62.21,62.96,61.77,0.66,0.64,0.62,0.61,0.58,0.60,0.63,0.64,0.64,0.63,0.60,0.53,0.53,0.66,0.13,1.25,,,29.60
YJR111C,YJR111C,61.16,60.42,59.07,57.32,53.94,51.88,50.59,50.20,57.04,59.78,59.96,53.86,6.56,6.76,7.09,7.59,8.37,9.47,9.93,10.07,9.55,9.44,9.56,10.22,0.11,0.11,0.12,0.13,0.16,0.18,0.20,0.20,0.17,0.16,0.16,0.19,0.11,0.20,0.09,1.87,,,29.60
SXM1,YDR395W,53.15,52.88,52.46,52.04,50.95,51.35,51.94,52.48,52.71,51.71,49.42,45.26,88.28,90.09,91.52,92.96,93.02,90.38,89.97,89.46,89.64,89.85,91.45,95.65,1.66,1.70,1.74,1.79,1.83,1.76,1.73,1.70,1.70,1.74,1.85,2.11,1.66,2.11,0.45,1.27,,,29.60
LYS4,YDR234W,185.50,186.35,186.77,186.83,185.04,183.69,185.39,196.58,210.06,210.41,199.06,166.45,975.22,975.60,970.47,955.75,917.81,900.95,876.87,844.75,786.97,736.00,710.58,736.48,5.26,5.24,5.20,5.12,4.96,4.90,4.73,4.30,3.75,3.50,3.57,4.42,3.50,5.26,1.76,1.50,,,29.58
VPH1,YOR270C,208.85,205.63,201.72,197.58,191.16,189.08,188.84,192.84,189.47,186.78,184.48,184.06,819.95,827.69,839.75,859.20,893.98,916.97,913.03,899.78,885.96,895.04,905.45,913.13,3.93,4.03,4.16,4.35,4.68,4.85,4.83,4.67,4.68,4.79,4.91,4.96,3.93,4.96,1.03,1.26,,,29.58
CPR1,YDR155C,2199.93,2162.44,2140.96,2131.68,2172.24,2194.66,2197.88,2130.42,1963.86,1926.49,1974.76,2182.79,6211.36,6737.84,7244.11,7831.51,8616.07,7859.80,6922.42,6210.02,7392.96,7931.86,8229.81,7857.25,2.82,3.12,3.38,3.67,3.97,3.58,3.15,2.91,3.76,4.12,4.17,3.60,2.82,4.17,1.34,1.48,,,29.56
ARP8,YOR141C,17.56,17.10,16.60,16.08,15.51,15.00,14.98,16.50,16.62,16.07,14.88,12.74,6.38,6.72,7.22,7.93,8.84,10.77,11.80,12.19,10.58,9.66,9.46,10.90,0.36,0.39,0.43,0.49,0.57,0.72,0.79,0.74,0.64,0.60,0.64,0.86,0.36,0.86,0.49,2.36,,,29.56
TRX2,YGR209C,530.10,563.79,621.81,702.67,849.47,969.03,1055.01,1039.09,1000.94,1054.94,1166.33,1389.38,553.59,532.97,511.28,477.98,411.69,442.24,500.08,618.95,787.46,931.30,1002.26,929.94,1.04,0.95,0.82,0.68,0.48,0.46,0.47,0.60,0.79,0.88,0.86,0.67,0.46,1.04,0.59,2.29,,,29.53
YHB1,YGR234W,72.82,74.15,75.92,78.36,81.36,86.30,90.80,92.30,94.87,93.45,87.10,72.99,227.70,225.80,221.16,212.54,194.71,177.39,171.46,169.91,170.46,162.37,165.53,189.52,3.13,3.05,2.91,2.71,2.39,2.06,1.89,1.84,1.80,1.74,1.90,2.60,1.74,3.13,1.39,1.80,,,29.40
SNO1,YMR095C,60.13,60.68,61.62,62.77,65.19,65.94,66.12,64.70,65.81,68.85,73.77,81.06,9.02,8.93,8.78,8.54,8.19,7.74,7.32,6.97,7.00,6.98,7.01,7.07,0.15,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.10,0.10,0.09,0.09,0.15,0.06,1.72,,,29.40
VTA1,YLR181C,29.26,29.49,29.68,29.73,29.88,28.92,27.84,26.84,28.64,29.23,29.05,26.80,9.01,9.06,9.12,9.27,9.65,9.17,8.04,6.30,3.88,2.06,0.68,0.13,0.31,0.31,0.31,0.31,0.32,0.32,0.29,0.23,0.14,0.07,0.02,0.00,0.00,0.32,0.32,68.22,,,29.40
ASG1,YIL130W,29.06,29.06,29.01,28.95,28.74,28.83,28.90,28.92,28.35,27.89,27.50,27.47,5.54,5.47,5.41,5.33,5.25,5.21,5.56,6.06,6.63,7.04,7.10,6.51,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.21,0.23,0.25,0.26,0.24,0.18,0.26,0.08,1.43,,,29.40
YIP3,YNL044W,245.18,251.65,259.81,268.81,284.66,287.95,289.40,290.60,307.20,315.66,318.28,307.72,98.08,97.30,96.17,94.73,93.42,86.80,85.20,81.69,70.80,66.05,65.40,70.96,0.40,0.39,0.37,0.35,0.33,0.30,0.29,0.28,0.23,0.21,0.21,0.23,0.21,0.40,0.19,1.95,,,29.36
TDH3,YGR192C,16823.67,16498.50,16121.56,15728.63,15148.77,14969.75,14980.26,15380.44,15065.09,15008.71,15176.30,15809.42,20574.44,20743.70,20990.19,21339.41,21783.43,22778.61,22684.69,22730.41,23740.80,24882.83,26104.27,27351.24,1.22,1.26,1.30,1.36,1.44,1.52,1.51,1.48,1.58,1.66,1.72,1.73,1.22,1.73,0.51,1.41,,,29.34
PEP8,YJL053W,27.82,26.20,24.53,22.79,21.22,19.62,18.49,18.37,15.94,14.58,14.12,15.27,0.50,0.54,0.60,0.68,0.83,0.88,0.89,0.88,0.90,0.93,0.92,0.85,0.02,0.02,0.02,0.03,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.06,0.02,0.07,0.05,3.65,,,29.33
SCP160,YJL080C,77.94,77.30,76.34,75.41,73.40,73.86,74.07,72.36,72.89,72.05,69.75,64.90,1181.08,1186.99,1205.06,1240.86,1312.98,1395.77,1443.37,1461.12,1399.51,1412.58,1460.19,1566.05,15.15,15.36,15.78,16.45,17.89,18.90,19.49,20.19,19.20,19.61,20.93,24.13,15.15,24.13,8.98,1.59,,,29.33
CPR5,YDR304C,217.11,214.86,213.10,211.44,211.34,209.42,207.52,206.66,195.84,196.46,206.81,234.56,58.15,53.31,48.13,41.51,32.33,32.58,40.82,54.17,67.04,75.25,88.51,110.68,0.27,0.25,0.23,0.20,0.15,0.16,0.20,0.26,0.34,0.38,0.43,0.47,0.15,0.47,0.32,3.08,,,29.32
RPL37B,YDR500C,2508.92,2515.82,2516.58,2512.05,2485.15,2476.82,2458.89,2398.70,2417.89,2454.75,2519.31,2615.76,202.35,200.96,199.31,197.86,199.09,189.52,187.35,187.07,196.52,201.00,198.95,183.98,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.01,1.16,,,29.28
AIP1,YMR092C,44.56,42.76,40.89,39.30,37.18,38.08,39.51,42.01,36.77,33.07,29.56,28.28,68.47,68.93,70.20,72.76,77.94,81.75,86.62,90.69,89.37,92.13,96.77,104.39,1.54,1.61,1.72,1.85,2.10,2.15,2.19,2.16,2.43,2.79,3.27,3.69,1.54,3.69,2.15,2.40,,,29.20
SKY1,YMR216C,43.20,42.81,42.32,41.88,40.89,41.28,42.00,43.63,41.83,40.17,38.21,36.66,7.12,6.95,6.71,6.32,5.62,5.11,5.00,5.38,6.75,8.63,9.99,10.00,0.16,0.16,0.16,0.15,0.14,0.12,0.12,0.12,0.16,0.21,0.26,0.27,0.12,0.27,0.15,2.29,,,29.20
COG1,YGL223C,34.12,33.35,32.37,31.31,29.46,28.94,28.95,30.13,29.83,29.33,28.56,27.49,3.77,3.68,3.58,3.47,3.37,3.40,3.38,3.37,3.42,3.38,3.20,2.79,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.10,0.10,0.12,0.02,1.16,,,29.20
LCB4,YOR171C,28.89,29.02,29.23,29.52,30.22,30.50,30.76,31.54,30.15,28.01,25.01,21.36,5.00,4.91,4.86,4.85,4.93,5.16,5.33,5.32,4.43,3.89,4.24,6.20,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.15,0.14,0.17,0.29,0.14,0.29,0.15,2.09,,,29.14
ASN1,YPR145W,501.58,500.98,500.72,500.54,501.20,500.74,501.21,506.44,497.90,496.81,502.14,520.94,576.28,584.03,592.08,602.24,614.83,610.31,612.03,613.41,619.49,622.26,618.68,603.67,1.15,1.17,1.18,1.20,1.23,1.22,1.22,1.21,1.24,1.25,1.23,1.16,1.15,1.25,0.10,1.09,,,29.06
RTN1,YDR233C,515.74,509.46,502.13,493.02,484.75,466.80,451.26,444.36,464.26,457.85,429.60,355.22,1047.75,1073.68,1098.56,1129.03,1169.92,1124.72,1112.21,1093.14,1100.15,1084.75,1030.13,906.43,2.03,2.11,2.19,2.29,2.41,2.41,2.46,2.46,2.37,2.37,2.40,2.55,2.03,2.55,0.52,1.26,,,29.02
