Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
MSS116,YDR194C,56.81,55.78,53.95,51.64,47.33,45.11,42.69,38.58,40.33,41.28,42.80,44.35,15.79,15.47,15.36,15.43,15.79,18.07,19.55,20.66,19.94,19.65,19.53,20.06,0.28,0.28,0.28,0.30,0.33,0.40,0.46,0.54,0.49,0.48,0.46,0.45,0.28,0.54,0.26,1.93,,,34.33
RPL31A,YDL075W,3991.05,4000.48,4000.21,3995.48,3957.82,3963.44,3952.34,3873.09,3891.09,3924.09,3984.59,4082.79,140.69,141.51,144.28,149.42,158.39,176.68,199.47,217.68,208.77,202.77,208.57,239.64,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.06,0.04,0.06,0.02,1.66,,,34.28
TUF1,YOR187W,121.24,123.03,126.06,129.03,137.71,133.00,127.26,128.78,118.66,105.88,89.12,68.00,174.32,175.10,176.04,177.31,178.59,180.94,180.32,178.35,173.51,170.00,170.34,178.02,1.44,1.42,1.40,1.37,1.30,1.36,1.42,1.38,1.46,1.61,1.91,2.62,1.30,2.62,1.32,2.02,,,34.00
ADE16,YLR028C,122.29,117.27,113.08,109.55,109.13,107.31,107.72,113.18,111.44,116.82,128.13,148.53,302.18,306.80,313.52,323.53,338.91,353.88,361.25,361.21,341.08,335.85,338.44,355.19,2.47,2.62,2.77,2.95,3.11,3.30,3.35,3.19,3.06,2.88,2.64,2.39,2.39,3.35,0.96,1.40,,,34.00
KES1,YPL145C,123.30,118.74,113.19,107.30,98.37,95.36,94.13,95.83,91.29,88.65,87.71,90.62,279.96,273.25,265.70,256.32,245.10,236.84,241.80,251.03,258.56,246.59,221.27,177.03,2.27,2.30,2.35,2.39,2.49,2.48,2.57,2.62,2.83,2.78,2.52,1.95,1.95,2.83,0.88,1.45,,,34.00
TRP5,YGL026C,304.66,302.81,300.31,297.68,292.46,292.06,292.94,295.71,296.40,297.19,298.09,299.40,2047.45,2070.35,2111.71,2183.38,2313.83,2431.03,2491.77,2525.84,2526.27,2585.24,2644.57,2700.08,6.72,6.84,7.03,7.33,7.91,8.32,8.51,8.54,8.52,8.70,8.87,9.02,6.72,9.02,2.30,1.34,,,34.00
MLP1,YKR095W,16.33,16.01,15.69,15.48,15.11,15.63,16.40,17.67,17.02,16.83,16.82,17.53,23.16,22.35,21.45,20.25,18.40,18.98,19.32,19.35,17.38,16.26,15.96,17.34,1.42,1.40,1.37,1.31,1.22,1.21,1.18,1.09,1.02,0.97,0.95,0.99,0.95,1.42,0.47,1.49,,,34.00
TPI1,YDR050C,7013.89,6951.14,6879.05,6794.26,6682.18,6576.94,6518.31,6602.80,6544.27,6505.96,6488.28,6506.12,8890.26,8066.74,7105.39,5805.40,3991.33,3387.36,2763.99,2538.15,2734.53,2919.60,3126.79,3240.93,1.27,1.16,1.03,0.85,0.60,0.52,0.42,0.38,0.42,0.45,0.48,0.50,0.38,1.27,0.88,3.30,,,33.90
KTR3,YBR205W,65.58,65.56,65.71,66.03,66.88,67.26,67.91,69.82,70.23,69.75,68.14,64.86,31.99,32.93,34.02,35.57,38.11,37.41,37.41,37.12,37.68,37.60,36.06,31.78,0.49,0.50,0.52,0.54,0.57,0.56,0.55,0.53,0.54,0.54,0.53,0.49,0.49,0.57,0.08,1.17,,,33.80
HPT1,YDR399W,588.76,588.11,585.56,583.00,573.83,580.95,581.11,551.55,541.13,524.03,499.04,463.03,213.50,212.71,212.38,212.77,216.13,215.28,211.31,208.34,209.86,217.18,232.48,258.53,0.36,0.36,0.36,0.36,0.38,0.37,0.36,0.38,0.39,0.41,0.47,0.56,0.36,0.56,0.20,1.54,,,33.60
