"Feature"
"RTS1"
"OPI10"
"RPL20A"
"HBS1"
"ATP3"
"STE24"
"MLP1"
"ADE16"
"KES1"
"TUF1"
"TRP5"
"TPI1"
"MET22"
"SER33"
"MPD1"
"BNA1"
"GCV1"
"ADE2"
"BNA4"
"LHS1"
"TKL1"
"UFD4"
"YCK2"
"LYS2"
"RNR3"
"MET10"
"MET3"
"SPA2"
"ADE12"
"PRS5"
"PSP2"
"ADH4"
"HNT1"
"RPL1B"
"GND1"
"GSH1"
"YPR1"
"VPS1"
"AIM45"
"GCV2"
"LSB3"
"LAP3"
"FUM1"
"GLT1"
"YBT1"
"CKI1"
"MSN5"
"CRN1"
"CPA2"
"MET16"
"ARG1"
"SXM1"
"LYS4"
"VPH1"
"CPR1"
"YHB1"
"TDH3"
"SCP160"
"AIP1"
"ASN1"
"RTN1"
"ASN2"
"COG6"
"TCB3"
"PEX19"
"LPD1"
"TRP2"
"NMA111"
"HIS4"
"SHM1"
"VPS27"
"ERG6"
"YFR006W"
"YCF1"
"GRS1"
"SHM2"
"CLU1"
"NUP2"
"PFK2"
"ABP1"
"AIM9"
"HMG2"
"RPS6A"
"ATP4"
"PET10"
"UBP3"
"DOT5"
"GSC2"
"ATP5"
"BCH1"
"ADH6"
"PFK1"
"MAP1"
"SSE1"
"CAM1"
"PMR1"
"LYS12"
"VIP1"
"ARO4"
"ERG2"
"PNP1"
"MET6"
"MET2"
"TGL1"
"ADE6"
"ARO8"
"GDH1"
"PYC2"
"SSP120"
"GGA2"
"MIR1"
"GCN20"
"ADH3"
"OST3"
"AIM10"
"CEX1"
"IMH1"
"ALO1"
"AHP1"
"CPR3"
"VTC4"
"NOT3"
"LEU4"
"PRD1"
"ADE3"
"DOA1"
"YIM1"
"DLD3"
"ADE17"
"RAS2"
"TAL1"
"FSH3"
"YMR027W"
"SPF1"
"CYS4"
"ARC1"
"YHR112C"
"PDR16"
"TDH1"
"HCH1"
"MDM38"
"PDI1"
"SVL3"
"STE23"
"APE2"
"PMT1"
"RNR1"
"OSH3"
"SPE3"
"LYS20"
"BNA3"
"MNN5"
"ARG3"
"ENO1"
"AIM7"
"SAM2"
"YGR054W"
"AAT2"
"WTM1"
"VTC2"
"CWH41"
"SER1"
"YMR099C"
"MCK1"
"TMA108"
"HAT2"
"ROT2"
"PGM1"
"GLR1"
"SAM1"
"CAJ1"
"EGD1"
"SER3"
"SLC1"
"GCN1"
"RTT103"
"HHF1"
"MTR10"
"URA2"
"MET13"
"MAE1"
"CSR1"
"ENT3"
"FPR1"
"GET3"
"ZUO1"
"PUT2"
"ARO1"
"TOM71"
"GSF2"
"STO1"
"MYO5"
"CHO2"
"ASC1"
"FAA1"
"GCS1"
"OLA1"
"RPL19B"
"PDX1"
"MTC1"
"PRE9"
"PUB1"
"PAA1"
"GPD2"
"TEF4"
"LYS1"
"ARG4"
"ARO7"
"RHO5"
"VAC8"
"APL3"
"HIS5"
"UBP6"
"APL2"
"ADO1"
"ADK1"
"YGR012W"
"NPT1"
"TIF3"
"EFT1"
"RPT3"
"TWF1"
"FUN12"
"CYS3"
"SEY1"
"PDX3"
"TOM70"
"TOM1"
"SSH1"
"SAC1"
"AAP1"
"PDA1"
"HEK2"
"BEM2"
"IDH2"
"ATP2"
"IDP1"
"KAR2"
"TIF1"
"NUP133"
"NUP84"
"TOR1"
"PRO2"
"TSA1"
"ARO2"
"SAC6"
"HOM3"
"HOM2"
"SRV2"
"SLA1"
"PDB1"
"TPD3"
"POR1"
"NUP170"
"PHB2"
"ASF1"
"ADH1"
"ATP1"
"SLA2"
"HOM6"
"CHC1"
"VMA5"
"RNR4"
"VMA2"
"VMA13"
"VMA6"
"THR1"
"THR4"
