"ORF","Feature","AvgLife","Slope","GroupRank","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H7.8","H72.3"
"YBR127C","VMA2",5.375,-0.995047351983789,1,10.116457315067,10.0032088224833,9.75211351219307,9.3075962002236,8.9731600676912,8.54566047875643,8.02322459514736,7.62135132420449,7.05942755639593,6.56227738001543,10.1813190022579,6.2169996858343
"YOR163W","DDP1",27.1142857142857,-0.994296601007714,1,0.667358014290988,0.659306767924081,0.643389154089417,0.602936874809548,0.521608478529029,0.454109490740388,0.387766379376529,0.340113555398322,0.257382599743503,0.165438583468685,0.660964334381201,0.071702836529637
"YPL091W","GLR1",22.8444444444444,-0.992978044209016,1,2.94354966065971,2.91361231032784,2.85355339567222,2.70757125574292,2.58107691492954,2.44253716525562,2.41725930403815,2.25695368846982,2.02541573926298,1.75690793379046,2.94106822341701,1.47515081862748
"YBR106W","PHO88",29.8222222222222,-0.988731231039346,1,0.790394870667928,0.771039745272794,0.741500710299271,0.702626233284783,0.637025078476908,0.588230057685112,0.578386620106616,0.55483934406758,0.505519613053282,0.450621222155922,0.803264640763074,0.386274036809644
"YBL098W","BNA4",32.6,-0.987776443146593,1,1.02853932178677,1.00464674618312,0.969175255868082,0.88858415250186,0.793948740062024,0.752079367398114,0.721697496893256,0.704986192054212,0.630403498374483,0.534948919417433,1.03286993534378,0.406404497945535
"YOL016C","CMK2",21.4,-0.981022884319148,1,0.572178295443223,0.560996602153249,0.539307590156186,0.505184685109939,0.460313106727335,0.426056489379983,0.380840998842756,0.378583896588631,0.363932324360557,0.330192041036469,0.573610240380212,0.261936527071264
"YPR118W","MRI1",23.2,-0.979353983914333,1,0.991498308081344,0.989762342714824,0.979561664355387,0.964230599765419,0.907507192597667,0.857590324323427,0.821790350314551,0.789264156575072,0.758787888254503,0.732886315258045,0.989646266082978,0.709882258658382
"YKL073W","LHS1",32.6,-0.979194901867438,1,2.92203881328997,2.91108809708311,2.87541896317947,2.82332625031563,2.78852704899274,2.71809392379163,2.62703056361242,2.40861384803733,2.18116305165082,2.00172052619404,2.93349201727152,1.93315173449956
"YLR335W","NUP2",28.2,-0.978499472484046,1,2.73322310426896,2.53598428981262,2.26079187587694,1.85900726964697,1.88100376733113,1.87326352491611,1.83917592486591,1.33958324290925,0.893778434000327,0.547923389009007,2.91279454600709,0.437853427372881
"YGL202W","ARO8",26.1363636363636,-0.977448053987599,1,2.99654761910132,3.01602153643117,3.01151122380105,2.94940644074519,2.87919028291278,2.74152004786036,2.5803418527133,2.46814556784769,2.34297586027664,2.23948910394884,2.96204602537354,2.18501049169024
"YDL053C","PBP4",22.6,-0.977402136508388,1,0.959871038148266,0.940953391536948,0.901861817052853,0.812984863145186,0.658801590531348,0.5683502436779,0.507565648840476,0.515762920864594,0.440784714698455,0.341557148833249,0.957201527987352,0.205969552861874
