"ORF","Feature","AvgLife","Slope","AntiProb","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H7.8","H72.3"
"YBR127C","VMA2",5.375,-0.995047351983789,0,10.116457315067,10.0032088224833,9.75211351219307,9.3075962002236,8.9731600676912,8.54566047875643,8.02322459514736,7.62135132420449,7.05942755639593,6.56227738001543,10.1813190022579,6.2169996858343
"YKL073W","LHS1",32.6,-0.979194901867438,0,2.92203881328997,2.91108809708311,2.87541896317947,2.82332625031563,2.78852704899274,2.71809392379163,2.62703056361242,2.40861384803733,2.18116305165082,2.00172052619404,2.93349201727152,1.93315173449956
"YBR263W","SHM1",28.5333333333333,-0.957581164597098,0.5,3.81364774367461,3.77696202335706,3.71692615373695,3.58484988845217,3.50651230572784,3.41482670085811,3.35308411201119,3.27650919621005,3.17649205000449,3.12613501879029,3.82881632483082,3.18185973888221
"YLR181C","VTA1",29.4,-0.942945998002794,0,0.307319405083859,0.307282233658461,0.311805295723357,0.323014812542335,0.316994799454811,0.288740339649128,0.234574866630922,0.135505231853218,0.0704008101537821,0.0234604744859432,0.307891622709527,0.00473476582520333
"YJL123C","MTC1",20.2,-0.939928150855093,0,2.7768529452441,2.66884838250437,2.49153247527182,2.1781409068194,1.91890919013318,1.75864563245449,1.66480520213552,1.69673408673873,1.64067129197746,1.49303671602835,2.83654724431611,1.17254813666935
"YCR053W","THR4",3.12,-0.937354330946517,0,4.01310675901059,4.06893036126534,4.10096651693528,4.09042292007581,3.95848603539659,3.88311750242424,3.84293569088438,3.75897044130281,3.52373858616613,3.32963831172295,3.94693947276633,3.26871910924577
"YML022W","APT1",29.6,-0.926978199661805,1,0.374111433335421,0.358811791393122,0.337081518892681,0.309987475165489,0.278151321776384,0.264445949993093,0.261399952707812,0.273124846578438,0.265241204653527,0.244940105957241,0.38788881564059,0.188704262838403
"YKR080W","MTD1",20.2,-0.918076406940492,1,0.682446332496596,0.665623444813288,0.634666619266693,0.579742339810128,0.541486736164775,0.520719382173862,0.508825203087285,0.511497465198919,0.488054075493505,0.470784988967309,0.693342495279211,0.466169039547296
"YGR135W","PRE9",20.1022727272727,-0.905720827810333,0,1.24318612411589,1.26147959195038,1.26071769520322,1.2021165132563,1.11794612349424,1.10097525617564,1.14640222754929,1.16567271650359,1.09060737733999,1.01823250906201,1.20884167587032,0.970218086681281
"YFL018C","LPD1",28.6627906976744,-0.903126760752361,0,3.6237888086877,3.63405189523428,3.63547507563572,3.55457324135465,3.46882762540191,3.26380344184146,2.95423007267904,3.15630346681327,3.18264953949974,3.11592535282687,3.5777913806708,2.81025053893424
"YDR129C","SAC6",11.92,-0.897991794649453,0,7.59544728165185,7.64524483047188,7.69533111629841,7.6223342906511,7.66274186038913,7.39148051917103,6.59433586331609,6.83161769026586,6.83941325852885,6.7202699497878,7.49502780081441,6.24485262364351
"YER177W","BMH1",20.1,-0.880485129096804,0.33,0.865015924530954,0.784826482329744,0.660998268587026,0.469805554793972,0.361341668445057,0.326330377413316,0.320086980560871,0.377776537195836,0.341310761459738,0.261591631249473,0.924326442191512,0.114776654108514
"YBR039W","ATP3",35,-0.875620149303848,1,1.70463539230117,1.54461869912233,1.34529856811098,1.02741149953258,0.823910239410007,0.739335076308059,0.736716481634051,0.77621922043828,0.692381594759551,0.600951810224548,1.81964513505163,0.511909813104765
