}Static		4902	12 time points transcription data for 4902 genes									
}$	7.8	10.7	14	17.8	22	26.8	32.2	38.4	45.4	53.3	62.2	72.3
YOR323C	1	0.901211062	0.792079657	0.689970744	0.56512251	0.539423956	0.58069264	0.827527913	0.733168312	0.568011435	0.317350217	0
YDR158W	1	0.851358495	0.683851305	0.502296252	0.270373312	0.099556097	0	0.064373111	0.110052493	0.17148939	0.262890173	0.349606522
YPR058W	0.212113821	0.238306673	0.276448797	0.305832901	0.387485732	0.317830211	0.205503563	0	0.002969013	0.150612688	0.466389057	1
YOR063W	0.69268485	0.667577428	0.618402121	0.557410147	0.415727245	0.368193892	0.418429285	0.736648849	1	0.970043276	0.693622913	0
YHR018C	1	0.937880425	0.852671925	0.73169055	0.563676883	0.3108338	0.092168536	0.057300093	0.007095337	0	0.074536412	0.245977771
YDR012W	0.874511521	0.744033615	0.567657797	0.382794712	0.00847486	0	0.183002776	0.788080348	1	0.978299745	0.744989981	0.214497118
YIR034C	0	0.027428502	0.117576335	0.246154528	0.521760832	0.648838476	0.774397929	1	0.760714113	0.680725326	0.622517301	0.658272518
YEL017C-A	1	0.933644293	0.860724596	0.785635131	0.67217509	0.651223287	0.694041543	0.88578591	0.812792208	0.657031897	0.394968002	0
YPR059C	0.277011766	0.282184724	0.29716691	0.31222233	0.369058864	0.356943032	0.288835159	0.031107841	0	0.13601779	0.447362364	1
YGL202W	1	0.90549954	0.782909946	0.634773227	0.406657601	0.238304681	0.100412639	0.012884806	0	0.063418919	0.231106226	0.52172765
YGR267C	0	0.041242518	0.108131838	0.192242062	0.359515875	0.433325152	0.497769531	0.541385705	0.6518035	0.766647698	0.888360032	1
YIL043C	0	0.070462776	0.165734605	0.265682566	0.455734687	0.448774664	0.424324599	0.420846684	0.616627884	0.779085436	0.931874961	1
YJR016C	0.96165537	0.902990801	0.791247095	0.635892671	0.311964264	0.0648492	0	0.535661032	0.952555903	1	0.776237205	0.055842178
YIL116W	1	0.898160788	0.787243776	0.652411336	0.521867717	0.290607819	0.098532228	0.056558002	0	0.018704845	0.142525178	0.391755601
YAL037C-B	1	0.855187566	0.674898192	0.475827169	0.119104298	0	0.077423897	0.661867471	0.777200501	0.797991122	0.726743271	0.526451013
YML067C	0.004665368	0.037470964	0.076737374	0.114379948	0.190600561	0.161856609	0.103845185	0.031803911	0	0.121882528	0.41842128	1
YDR127W	1	0.848426613	0.660565489	0.456854181	0.10974751	0	0.04148186	0.465292704	0.434696189	0.383282274	0.305173345	0.233714233
