fbud,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,tRowSum,,hours,St7.8,St10.7,St14,St17.8,St22,St26.8,St32.2,St38.4,St45.4,St53.3,St62.2,,tDifSum,,absSt1,absSt2,absSt3,absSt4,absSt5,absSt6,absSt7,absSt8,absSt9,absSt10,absSt11,ABStsum,,tMin,tMax,tRange,,buds,,tn7.8,tn10.7,tn14,tn17.8,tn22,tn26.8,tn32.2,tn38.4,tn45.4,tn53.3,tn62.2,tn72.3,,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,,hours,,StSlopeDifs,pSopeDifs-tSlopeDifs,,,,Sp-St7.8,Sp-St10.7,Sp-St14,Sp-St17.8,Sp-St22,Sp-St26.8,Sp-St32.2,Sp-St38.4,Sp-St45.4,Sp-St53.3,Sp-St62.2,SpSlopeDifs,,ABSSp-St7.8,ABSSp-St10.7,ABSSp-St14,ABSSp-St17.8,ABSSp-St22,ABSSp-St26.8,ABSSp-St32.2,ABSSp-St38.4,ABSSp-St45.4,ABSSp-St53.3,ABSSp-St62.2,SumABSSp-St,buds,,,,,Sp7.8,Sp10.7,Sp14,Sp17.8,Sp22,Sp26.8,Sp32.2,Sp38.4,Sp45.4,Sp53.3,Sp62.2,,pSlopeSum,,ABSSp7.8,ABSSp10.7,ABSSp14,ABSSp17.8,ABSSp22,ABSSp26.8,ABSSp32.2,ABSSp38.4,ABSSp45.4,ABSSp53.3,ABSSp62.2,ABSpSlopeSome,,buds,,pn7.8,pn10.7,pn14,pn17.8,pn22,pn26.8,pn32.2,pn38.4,pn45.4,pn53.3,pn62.2,pn72.3,,pMin,pMax,pRange,,p-tn7.8,p-tn10.7,p-tn14,p-tn17.8,p-tn22,p-tn26.8,p-tn32.2,p-tn38.4,p-tn45.4,p-tn53.3,p-tn62.2,p-tn72.3,SDp-tn,,,ABSp-tn7.8,ABSp-tn10.7,ABSp-tn14,ABSp-tn17.8,ABSp-tn22,ABSp-tn26.8,ABSp-tn32.2,ABSp-tn38.4,ABSp-tn45.4,ABSp-tn53.3,ABSp-tn62.2,ABSp-tn72.3,SDABSp-t,,,tA,pA,tA/pA,tR/pR,Averages/Ranges,tM/tR,pM/pR,t/p
VPS27,YNR006W,28,28,28,28,27,26,27,32,36,35,31,20,346,,,0,0,0,-0.238095238,-0.208333333,0.185185185,0.806451613,0.571428571,-0.126582278,-0.449438202,-1.089108911,,-0.548492594,,0,0,0,-0.238095238,0.208333333,0.185185185,0.806451613,0.571428571,0.126582278,0.449438202,1.089108911,3.198432856,,20,36,16,,29,,0.5,0.5,0.5,0.5,0.4375,0.375,0.4375,0.75,1,0.9375,0.6875,0,,35,34,33,33,33,39,42,43,36,30,26,28,,,,-0.548492594,0.518985155,,,,-0.344827586,-0.303030303,0,0.238095238,1.458333333,0.37037037,-0.64516129,-1.457504521,-0.632911392,0,1.287128713,-0.029507438,,0.344827586,0.303030303,0,0.238095238,1.458333333,0.37037037,0.64516129,1.457504521,0.632911392,0,1.287128713,6.737362747,29,,,,,-0.344827586,-0.303030303,0,0,1.25,0.555555556,0.161290323,-0.886075949,-0.759493671,-0.449438202,0.198019802,,-0.578000032,,0.344827586,0.303030303,0,0,1.25,0.555555556,0.161290323,0.886075949,0.759493671,0.449438202,0.198019802,4.907731392,,29,,0.529411765,0.470588235,0.411764706,0.411764706,0.411764706,0.764705882,0.941176471,1,0.588235294,0.235294118,0,0.117647059,,26,43,17,,0.029411765,-0.029411765,-0.088235294,-0.088235294,-0.025735294,0.389705882,0.503676471,0.25,-0.411764706,-0.702205882,-0.6875,0.117647059,,,,0.029411765,0.029411765,0.088235294,0.088235294,0.025735294,0.389705882,0.503676471,0.25,0.411764706,0.702205882,0.6875,0.117647059,,,,29,34,1,1,1,2,2,1
ERG6,YML008C,188,194,203,213,229,247,262,265,288,299,299,276,2963,,,2.068965517,-0.841121495,2.631578947,3.80952381,3.75,2.777777778,0.483870968,3.285714286,1.392405063,0,-2.277227723,,17.08148715,,2.068965517,3.103448276,2.631578947,3.80952381,3.75,2.777777778,0.483870968,3.285714286,1.392405063,0,2.277227723,25.58051237,,188,299,111,,29,,0,0.054054054,0.135135135,0.225225225,0.369369369,0.531531532,0.666666667,0.693693694,0.900900901,1,1,0.792792793,,1000,1009,1016,1020,1014,1000,984,960,928,921,952,1046,,,,17.08148715,-31.21148323,,,,1.034482759,2.962333617,-1.578947368,-5.238095238,-6.666666667,-5.740740741,-4.35483871,-7.336347197,-2.278481013,3.483146067,11.58415842,-14.12999607,,1.034482759,2.962333617,1.578947368,5.238095238,6.666666667,5.740740741,4.35483871,7.336347197,2.278481013,3.483146067,11.58415842,52.25823779,29,,,,,3.103448276,2.121212121,1.052631579,-1.428571429,-2.916666667,-2.962962963,-3.870967742,-4.050632911,-0.886075949,3.483146067,9.306930693,,2.951491076,,3.103448276,2.121212121,1.052631579,1.428571429,2.916666667,2.962962963,3.870967742,4.050632911,0.886075949,3.483146067,9.306930693,35.1832464,,29,,0.632,0.704,0.76,0.792,0.744,0.632,0.504,0.312,0.056,0,0.248,1,,921,1046,125,,0.632,0.649945946,0.624864865,0.566774775,0.374630631,0.100468468,-0.162666667,-0.381693694,-0.844900901,-1,-0.752,0.207207207,,,,0.632,0.649945946,0.624864865,0.566774775,0.374630631,0.100468468,0.162666667,0.381693694,0.844900901,1,0.752,0.207207207,,,,247,987,0,0,2,3,1,2
PST1,YDR055W,156,153,151,149,147,149,155,179,178,166,141,99,1823,,,-1.034482759,0.186915888,-0.526315789,-0.476190476,0.416666667,1.111111111,3.870967742,-0.142857143,-1.518987342,-2.808988764,-4.158415842,,-5.080576707,,1.034482759,0.689655172,0.526315789,-0.476190476,0.416666667,1.111111111,3.870967742,0.142857143,1.518987342,2.808988764,4.158415842,15.80225785,,99,179,80,,28,,0.7125,0.675,0.65,0.625,0.6,0.625,0.7,1,0.9875,0.8375,0.525,0,,48,53,58,64,71,63,66,77,109,130,133,99,,,,-5.080576707,20.98874211,,,,2.75862069,1.328235627,2.105263158,2.142857143,-2.083333333,-0.555555556,-2.096774194,4.193490054,4.17721519,3.146067416,0.792079208,15.9081654,,2.75862069,1.328235627,2.105263158,2.142857143,2.083333333,0.555555556,2.096774194,4.193490054,4.17721519,3.146067416,0.792079208,25.37949157,28,,,,,1.724137931,1.515151515,1.578947368,1.666666667,-1.666666667,0.555555556,1.774193548,4.050632911,2.658227848,0.337078652,-3.366336634,,10.8275887,,1.724137931,1.515151515,1.578947368,1.666666667,1.666666667,0.555555556,1.774193548,4.050632911,2.658227848,0.337078652,3.366336634,20.8935953,,28,,0,0.058823529,0.117647059,0.188235294,0.270588235,0.176470588,0.211764706,0.341176471,0.717647059,0.964705882,1,0.6,,48,133,85,,-0.7125,-0.616176471,-0.532352941,-0.436764706,-0.329411765,-0.448529412,-0.488235294,-0.658823529,-0.269852941,0.127205882,0.475,0.6,,,,0.7125,0.616176471,0.532352941,0.436764706,0.329411765,0.448529412,0.488235294,0.658823529,0.269852941,0.127205882,0.475,0.6,,,,152,81,2,1,2,2,2,1
HIS1,YER055C,955,948,939,929,912,901,892,883,866,861,867,894,10847,,,-2.413793103,0.841121495,-2.631578947,-4.047619048,-2.291666667,-1.666666667,-1.451612903,-2.428571429,-0.632911392,0.674157303,2.673267327,,-13.37587403,,2.413793103,3.103448276,2.631578947,-4.047619048,2.291666667,1.666666667,1.451612903,2.428571429,0.632911392,0.674157303,2.673267327,15.92005497,,861,955,94,,28,,1,0.925531915,0.829787234,0.723404255,0.542553191,0.425531915,0.329787234,0.234042553,0.053191489,0,0.063829787,0.35106383,,400,403,407,413,423,433,447,459,459,455,441,415,,,,-13.37587403,34.91604133,,,,3.448275862,0.370999717,4.210526316,6.428571429,4.375,4.259259259,3.387096774,2.428571429,0.126582278,-2.247191011,-5.247524752,21.5401673,,3.448275862,0.370999717,4.210526316,6.428571429,4.375,4.259259259,3.387096774,2.428571429,0.126582278,2.247191011,5.247524752,36.52959883,28,,,,,1.034482759,1.212121212,1.578947368,2.380952381,2.083333333,2.592592593,1.935483871,0,-0.506329114,-1.573033708,-2.574257426,,8.164293269,,1.034482759,1.212121212,1.578947368,2.380952381,2.083333333,2.592592593,1.935483871,0,0.506329114,1.573033708,2.574257426,17.47153376,,28,,0,0.050847458,0.118644068,0.220338983,0.389830508,0.559322034,0.796610169,1,1,0.93220339,0.694915254,0.254237288,,400,459,59,,-1,-0.874684457,-0.711143166,-0.503065272,-0.152722683,0.133790119,0.466822935,0.765957447,0.946808511,0.93220339,0.631085467,-0.096826542,,,,1,0.874684457,0.711143166,0.503065272,0.152722683,0.133790119,0.466822935,0.765957447,0.946808511,0.93220339,0.631085467,0.096826542,,,,904,430,2,2,1,10,8,1
YFR006W,YFR006W,29,30,30,31,33,34,34,30,31,32,35,39,388,,,0.344827586,0,0.263157895,0.476190476,0.208333333,0,-0.64516129,0.142857143,0.126582278,0.337078652,0.396039604,,1.649905677,,0.344827586,0,0.263157895,0.476190476,0.208333333,0,0.64516129,0.142857143,0.126582278,0.337078652,0.396039604,2.940228258,,29,39,10,,28,,0,0.1,0.1,0.2,0.4,0.5,0.5,0.1,0.2,0.3,0.6,1,,58,55,52,46,38,34,33,33,32,30,29,31,,,,1.649905677,-10.0396994,,,,-1.379310345,-0.909090909,-1.842105263,-2.380952381,-1.041666667,-0.185185185,0.64516129,-0.269439421,-0.379746835,-0.449438202,-0.198019802,-8.389793721,,1.379310345,0.909090909,1.842105263,2.380952381,1.041666667,0.185185185,0.64516129,0.269439421,0.379746835,0.449438202,0.198019802,9.680116301,28,,,,,-1.034482759,-0.909090909,-1.578947368,-1.904761905,-0.833333333,-0.185185185,0,-0.126582278,-0.253164557,-0.112359551,0.198019802,,-6.739888043,,1.034482759,0.909090909,1.578947368,1.904761905,0.833333333,0.185185185,0,0.126582278,0.253164557,0.112359551,0.198019802,7.135927647,,28,,1,0.896551724,0.793103448,0.586206897,0.310344828,0.172413793,0.137931034,0.137931034,0.103448276,0.034482759,0,0.068965517,,29,58,29,,1,0.796551724,0.693103448,0.386206897,-0.089655172,-0.327586207,-0.362068966,0.037931034,-0.096551724,-0.265517241,-0.6,-0.931034483,,,,1,0.796551724,0.693103448,0.386206897,0.089655172,0.327586207,0.362068966,0.037931034,0.096551724,0.265517241,0.6,0.931034483,,,,32,39,1,0,2,4,2,2
AVT1,YJR001W,56,53,50,46,41,36,33,35,34,33,32,30,479,,,-1.034482759,0.280373832,-1.052631579,-1.19047619,-1.041666667,-0.555555556,0.322580645,-0.142857143,-0.126582278,-0.112359551,-0.198019802,,-4.851677047,,1.034482759,1.034482759,1.052631579,-1.19047619,1.041666667,0.555555556,0.322580645,0.142857143,0.126582278,0.112359551,0.198019802,4.430742547,,30,56,26,,28,,1,0.884615385,0.769230769,0.615384615,0.423076923,0.230769231,0.115384615,0.192307692,0.153846154,0.115384615,0.076923077,0,,5,5,5,5,4,3,3,3,4,4,3,1,,,,-4.851677047,9.073128449,,,,1.034482759,-0.280373832,1.052631579,0.952380952,0.833333333,0.555555556,-0.322580645,0.269439421,0.126582278,0,0,4.221451402,,1.034482759,0.280373832,1.052631579,0.952380952,0.833333333,0.555555556,0.322580645,0.269439421,0.126582278,0,0,5.427360356,28,,,,,0,0,0,-0.238095238,-0.208333333,0,0,0.126582278,0,-0.112359551,-0.198019802,,-0.630225645,,0,0,0,0.238095238,0.208333333,0,0,0.126582278,0,0.112359551,0.198019802,0.883390202,,28,,1,1,1,1,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0,,1,5,4,,0,0.115384615,0.230769231,0.384615385,0.326923077,0.269230769,0.384615385,0.307692308,0.596153846,0.634615385,0.423076923,0,,,,0,0.115384615,0.230769231,0.384615385,0.326923077,0.269230769,0.384615385,0.307692308,0.596153846,0.634615385,0.423076923,0,,,,40,4,11,7,2,2,1,2
YCF1,YDR135C,21,20,19,19,18,18,18,19,19,19,19,19,228,,,-0.344827586,0.093457944,0,-0.238095238,0,0,0.161290323,0,0,0,0,,-0.328174558,,0.344827586,0.344827586,0,-0.238095238,0,0,0.161290323,0,0,0,0,0.612850257,,18,21,3,,28,,1,0.666666667,0.333333333,0.333333333,0,0,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,62,65,69,76,88,94,93,92,97,103,103,92,,,,-0.328174558,8.809021851,,,,1.379310345,1.118663268,1.842105263,3.095238095,1.25,-0.185185185,-0.322580645,0.632911392,0.759493671,0,-1.089108911,8.480847293,,1.379310345,1.118663268,1.842105263,3.095238095,1.25,0.185185185,0.322580645,0.632911392,0.759493671,0,1.089108911,11.67459678,28,,,,,1.034482759,1.212121212,1.842105263,2.857142857,1.25,-0.185185185,-0.161290323,0.632911392,0.759493671,0,-1.089108911,,8.152672736,,1.034482759,1.212121212,1.842105263,2.857142857,1.25,0.185185185,0.161290323,0.632911392,0.759493671,0,1.089108911,11.02384157,,28,,0,0.073170732,0.170731707,0.341463415,0.634146341,0.780487805,0.756097561,0.731707317,0.853658537,1,1,0.731707317,,62,103,41,,-1,-0.593495935,-0.162601626,0.008130081,0.634146341,0.780487805,0.756097561,0.398373984,0.520325203,0.666666667,0.666666667,0.398373984,,,,1,0.593495935,0.162601626,0.008130081,0.634146341,0.780487805,0.756097561,0.398373984,0.520325203,0.666666667,0.666666667,0.398373984,,,,19,86,0,0,6,7,1,6
GRS1,YBR121C,283,283,283,282,280,282,281,273,276,271,259,231,3284,,,0,0,-0.263157895,-0.476190476,0.416666667,-0.185185185,-1.290322581,0.428571429,-0.632911392,-1.348314607,-2.772277228,,-6.123121268,,0,0,0.263157895,-0.476190476,0.416666667,0.185185185,1.290322581,0.428571429,0.632911392,1.348314607,2.772277228,6.861216506,,231,283,52,,28,,1,1,1,0.980769231,0.942307692,0.980769231,0.961538462,0.807692308,0.865384615,0.769230769,0.538461538,0,,1995,2008,2011,1999,1944,1894,1851,1797,1720,1639,1591,1608,,,,-6.123121268,-49.41443792,,,,4.482758621,0.909090909,-2.894736842,-12.61904762,-10.83333333,-7.777777778,-7.419354839,-10.17540687,-9.620253165,-4.04494382,4.455445545,-55.53755919,,4.482758621,0.909090909,2.894736842,12.61904762,10.83333333,7.777777778,7.419354839,10.17540687,9.620253165,4.04494382,4.455445545,75.23214934,28,,,,,4.482758621,0.909090909,-3.157894737,-13.0952381,-10.41666667,-7.962962963,-8.709677419,-9.746835443,-10.25316456,-5.393258427,1.683168317,,-61.66068046,,4.482758621,0.909090909,3.157894737,13.0952381,10.41666667,7.962962963,8.709677419,9.746835443,10.25316456,5.393258427,1.683168317,75.81071615,,28,,0.961904762,0.992857143,1,0.971428571,0.84047619,0.721428571,0.619047619,0.49047619,0.307142857,0.114285714,0,0.04047619,,1591,2011,420,,-0.038095238,-0.007142857,0,-0.009340659,-0.101831502,-0.259340659,-0.342490842,-0.317216117,-0.558241758,-0.654945055,-0.538461538,0.04047619,,,,0.038095238,0.007142857,0,0.009340659,0.101831502,0.259340659,0.342490842,0.317216117,0.558241758,0.654945055,0.538461538,0.04047619,,,,274,1838,0,0,5,5,1,5
SHM2,YLR058C,2954,2921,2880,2835,2760,2742,2729,2707,2623,2546,2467,2405,32569,,,-11.37931034,3.831775701,-11.84210526,-17.85714286,-3.75,-2.407407407,-3.548387097,-12,-9.746835443,-8.876404494,-6.138613861,,-83.71443107,,11.37931034,14.13793103,11.84210526,-17.85714286,3.75,2.407407407,3.548387097,12,9.746835443,8.876404494,6.138613861,65.96985209,,2405,2954,549,,28,,1,0.93989071,0.865209472,0.783242259,0.646630237,0.613843352,0.590163934,0.550091075,0.39708561,0.256830601,0.112932605,0,,21479,21411,21280,21061,20665,20154,19946,19756,19446,19204,19281,19903,,,,-83.71443107,-222.8932637,,,,-12.06896552,-43.5287454,-45.78947368,-76.42857143,-102.7083333,-36.11111111,-27.09677419,-27.24050633,-20.88607595,17.52808989,67.72277228,-306.6076948,,12.06896552,43.5287454,45.78947368,76.42857143,102.7083333,36.11111111,27.09677419,27.24050633,20.88607595,17.52808989,67.72277228,477.1094191,28,,,,,-23.44827586,-39.6969697,-57.63157895,-94.28571429,-106.4583333,-38.51851852,-30.64516129,-39.24050633,-30.63291139,8.651685393,61.58415842,,-390.3221258,,23.44827586,39.6969697,57.63157895,94.28571429,106.4583333,38.51851852,30.64516129,39.24050633,30.63291139,8.651685393,61.58415842,530.7938135,,28,,1,0.97010989,0.912527473,0.816263736,0.642197802,0.417582418,0.326153846,0.242637363,0.106373626,0,0.033846154,0.307252747,,19204,21479,2275,,0,0.03021918,0.047318001,0.033021478,-0.004432435,-0.196260934,-0.264010088,-0.307453712,-0.290711984,-0.256830601,-0.079086451,0.307252747,,,,0,0.03021918,0.047318001,0.033021478,0.004432435,0.196260934,0.264010088,0.307453712,0.290711984,0.256830601,0.079086451,0.307252747,,,,2714,20299,0,0,5,5,1,5
ECM32,YER176W,23,23,23,23,23,24,25,25,25,25,25,24,288,,,0,0,0,0,0.208333333,0.185185185,0,0,0,0,-0.099009901,,0.294508618,,0,0,0,0,0.208333333,0.185185185,0,0,0,0,0.099009901,0.49252842,,23,25,2,,28,,0,0,0,0,0,0.5,1,1,1,1,1,0.5,,2,2,2,3,3,3,3,3,3,3,3,3,,,,0.294508618,-0.32585934,,,,0,0,0.263157895,0,-0.208333333,-0.185185185,0,0,0,0,0.099009901,-0.031350723,,0,0,0.263157895,0,0.208333333,0.185185185,0,0,0,0,0.099009901,0.755686314,28,,,,,0,0,0.263157895,0,0,0,0,0,0,0,0,,0.263157895,,0,0,0.263157895,0,0,0,0,0,0,0,0,0.263157895,,28,,0,0,0,1,1,1,1,1,1,1,1,1,,2,3,1,,0,0,0,1,1,0.5,0,0,0,0,0,0.5,,,,0,0,0,1,1,0.5,0,0,0,0,0,0.5,,,,24,3,9,4,2,11,6,2
VPS60,YDR486C,58,59,61,63,68,66,63,56,50,50,56,71,721,,,0.344827586,-0.186915888,0.526315789,1.19047619,-0.416666667,-0.555555556,-1.129032258,-0.857142857,0,0.674157303,1.485148515,,1.075612159,,0.344827586,0.689655172,0.526315789,1.19047619,0.416666667,0.555555556,1.129032258,0.857142857,0,0.674157303,1.485148515,7.868977894,,50,71,21,,28,,0.380952381,0.428571429,0.523809524,0.619047619,0.857142857,0.761904762,0.619047619,0.285714286,0,0,0.285714286,1,,15,14,12,11,9,10,11,13,17,17,15,8,,,,1.075612159,-3.536821012,,,,-0.689655172,-0.419144718,-0.789473684,-1.666666667,0.625,0.740740741,1.451612903,1.363471971,0,-0.898876404,-2.178217822,-2.461208853,,0.689655172,0.419144718,0.789473684,1.666666667,0.625,0.740740741,1.451612903,1.363471971,0,0.898876404,2.178217822,10.82286008,28,,,,,-0.344827586,-0.606060606,-0.263157895,-0.476190476,0.208333333,0.185185185,0.322580645,0.506329114,0,-0.224719101,-0.693069307,,-1.385596694,,0.344827586,0.606060606,0.263157895,0.476190476,0.208333333,0.185185185,0.322580645,0.506329114,0,0.224719101,0.693069307,3.830453249,,28,,0.777777778,0.666666667,0.444444444,0.333333333,0.111111111,0.222222222,0.333333333,0.555555556,1,1,0.777777778,0,,8,17,9,,0.396825397,0.238095238,-0.079365079,-0.285714286,-0.746031746,-0.53968254,-0.285714286,0.26984127,1,1,0.492063492,-1,,,,0.396825397,0.238095238,0.079365079,0.285714286,0.746031746,0.53968254,0.285714286,0.26984127,1,1,0.492063492,1,,,,60,13,5,2,2,3,2,2
CLU1,YMR012W,57,56,54,52,48,47,47,49,48,48,49,52,607,,,-0.344827586,0.186915888,-0.526315789,-0.952380952,-0.208333333,0,0.322580645,-0.142857143,0,0.112359551,0.297029703,,-1.255829018,,0.344827586,0.689655172,0.526315789,-0.952380952,0.208333333,0,0.322580645,0.142857143,0,0.112359551,0.297029703,1.691577971,,47,57,10,,28,,1,0.9,0.7,0.5,0.1,0,0,0.2,0.1,0.1,0.2,0.5,,354,355,362,375,401,435,456,473,476,505,546,605,,,,-1.255829018,42.80234291,,,,0.689655172,1.934296233,3.947368421,7.142857143,7.291666667,3.888888889,2.419354839,0.522603978,3.670886076,4.494382022,5.544554455,41.5465139,,0.689655172,1.934296233,3.947368421,7.142857143,7.291666667,3.888888889,2.419354839,0.522603978,3.670886076,4.494382022,5.544554455,41.5465139,28,,,,,0.344827586,2.121212121,3.421052632,6.19047619,7.083333333,3.888888889,2.741935484,0.379746835,3.670886076,4.606741573,5.841584158,,40.29068488,,0.344827586,2.121212121,3.421052632,6.19047619,7.083333333,3.888888889,2.741935484,0.379746835,3.670886076,4.606741573,5.841584158,40.29068488,,28,,0,0.003984064,0.03187251,0.083665339,0.187250996,0.322709163,0.406374502,0.474103586,0.486055777,0.601593625,0.764940239,1,,354,605,251,,-1,-0.896015936,-0.66812749,-0.416334661,0.087250996,0.322709163,0.406374502,0.274103586,0.386055777,0.501593625,0.564940239,0.5,,,,1,0.896015936,0.66812749,0.416334661,0.087250996,0.322709163,0.406374502,0.274103586,0.386055777,0.501593625,0.564940239,0.5,,,,51,445,0,0,6,6,1,5
PBY1,YBR094W,16,15,15,14,14,13,13,14,13,12,12,11,162,,,-0.344827586,0,-0.263157895,0,-0.208333333,0,0.161290323,-0.142857143,-0.126582278,0,-0.099009901,,-1.023477814,,0.344827586,0,0.263157895,0,0.208333333,0,0.161290323,0.142857143,0.126582278,0,0.099009901,1.346058459,,11,16,5,,28,,1,0.8,0.8,0.6,0.6,0.4,0.4,0.6,0.4,0.2,0.2,0,,3,3,3,3,3,5,5,6,6,7,8,10,,,,-1.023477814,3.061874248,,,,0.344827586,0,0.263157895,0,0.625,0,0,0.142857143,0.253164557,0.112359551,0.297029703,2.038396434,,0.344827586,0,0.263157895,0,0.625,0,0,0.142857143,0.253164557,0.112359551,0.297029703,2.038396434,28,,,,,0,0,0,0,0.416666667,0,0.161290323,0,0.126582278,0.112359551,0.198019802,,1.01491862,,0,0,0,0,0.416666667,0,0.161290323,0,0.126582278,0.112359551,0.198019802,1.01491862,,28,,0,0,0,0,0,0.285714286,0.285714286,0.428571429,0.428571429,0.571428571,0.714285714,1,,3,10,7,,-1,-0.8,-0.8,-0.6,-0.6,-0.114285714,-0.114285714,-0.171428571,0.028571429,0.371428571,0.514285714,1,,,,1,0.8,0.8,0.6,0.6,0.114285714,0.114285714,0.171428571,0.028571429,0.371428571,0.514285714,1,,,,14,5,3,1,4,3,1,2
HSM3,YBR272C,13,13,13,13,13,13,13,15,14,13,12,10,155,,,0,0,0,0,0,0,0.322580645,-0.142857143,-0.126582278,-0.112359551,-0.198019802,,-0.257238129,,0,0,0,0,0,0,0.322580645,0.142857143,0.126582278,0.112359551,0.198019802,0.902399419,,10,15,5,,28,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0.8,0.6,0.4,0,,2,2,2,2,2,2,2,2,2,3,3,3,,,,-0.257238129,0.641058536,,,,0,0,0,0,0,0,-0.322580645,0.142857143,0.253164557,0.112359551,0.198019802,0.383820407,,0,0,0,0,0,0,0.322580645,0.142857143,0.253164557,0.112359551,0.198019802,1.028981698,28,,,,,0,0,0,0,0,0,0,0,0.126582278,0,0,,0.126582278,,0,0,0,0,0,0,0,0,0.126582278,0,0,0.126582278,,28,,0,0,0,0,0,0,0,0,0,1,1,1,,2,3,1,,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-0.8,0.4,0.6,1,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0.8,0.4,0.6,1,,,,13,2,6,4,2,3,2,1
TAN1,YGL232W,54,53,53,52,50,48,45,42,41,40,40,39,557,,,-0.344827586,0,-0.263157895,-0.476190476,-0.416666667,-0.555555556,-0.483870968,-0.142857143,-0.126582278,0,-0.099009901,,-2.908718469,,0.344827586,0,0.263157895,-0.476190476,0.416666667,0.555555556,0.483870968,0.142857143,0.126582278,0,0.099009901,1.956337517,,39,54,15,,28,,1,0.933333333,0.933333333,0.866666667,0.733333333,0.6,0.4,0.2,0.133333333,0.066666667,0.066666667,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,-2.908718469,5.817436939,,,,0.344827586,0,0.263157895,0.476190476,0.416666667,0.555555556,0.483870968,0.142857143,0.126582278,0,0.099009901,2.908718469,,0.344827586,0,0.263157895,0.476190476,0.416666667,0.555555556,0.483870968,0.142857143,0.126582278,0,0.099009901,2.908718469,28,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,28,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,1,1,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,46,1,51,33,2,4,3,1
PRS3,YHL011C,209,211,213,214,215,219,221,218,220,215,204,183,2542,,,0.689655172,-0.186915888,0.263157895,0.238095238,0.833333333,0.37037037,-0.483870968,0.285714286,-0.632911392,-1.235955056,-2.079207921,,-1.93853493,,0.689655172,0.689655172,0.263157895,0.238095238,0.833333333,0.37037037,0.483870968,0.285714286,0.632911392,1.235955056,2.079207921,7.801926804,,183,221,38,,28,,0.684210526,0.736842105,0.789473684,0.815789474,0.842105263,0.947368421,1,0.921052632,0.973684211,0.842105263,0.552631579,0,,69,67,66,65,63,65,68,71,67,64,67,80,,,,-1.93853493,4.339260619,,,,-1.379310345,-0.116114415,-0.526315789,-0.714285714,-0.416666667,0.185185185,0.967741935,-0.7920434,0.253164557,1.573033708,3.366336634,2.400725689,,1.379310345,0.116114415,0.526315789,0.714285714,0.416666667,0.185185185,0.967741935,0.7920434,0.253164557,1.573033708,3.366336634,10.29019835,28,,,,,-0.689655172,-0.303030303,-0.263157895,-0.476190476,0.416666667,0.555555556,0.483870968,-0.506329114,-0.379746835,0.337078652,1.287128713,,0.462190759,,0.689655172,0.303030303,0.263157895,0.476190476,0.416666667,0.555555556,0.483870968,0.506329114,0.379746835,0.337078652,1.287128713,5.69841035,,28,,0.352941176,0.235294118,0.176470588,0.117647059,0,0.117647059,0.294117647,0.470588235,0.235294118,0.058823529,0.235294118,1,,63,80,17,,-0.33126935,-0.501547988,-0.613003096,-0.698142415,-0.842105263,-0.829721362,-0.705882353,-0.450464396,-0.738390093,-0.783281734,-0.317337461,1,,,,0.33126935,0.501547988,0.613003096,0.698142415,0.842105263,0.829721362,0.705882353,0.450464396,0.738390093,0.783281734,0.317337461,1,,,,212,68,3,2,1,6,5,1
