Name	RLS
adi1	"25,29,15,19,12,25,29,15,19,12"
adk1	"24,9,18,17,23"
adk2	"31,28,20,15,22,16,15,53,16,18"
ado1	"3,24,22,29,15"
adp1	"18,23,9,15,29"
adr1	"12,14,20,24,13,33,19,11,12,25,14,19,28,19,32,30,29,27,31,25,10,17,18,20,21"
ady2	"25,18,20,25,10"
ady3	"25,28,18,29,29"
ady4	"29,36,31,15,25"
aep1	"23,30,35,34,20,19,33,21,16,19,27,31,13,19,25,11,28,29,23,35,30,13,18,19,27,34,26,47,21,32,37,37,28,33,22,24,15,19,15,8,25,35,31,28,31,44,20,27,39,30,24,43,34,35,30,31,22,17,28,40,39,33,31,27,31,24,39,42,27,33,42,28,38,25,41,7,54,39,32,44,26,21,21,11,21"
aep2	"31,35,37,33,31,43,26,34,19,34,19,33,19,28,34,12,35,25,38,21,42,33,41,30,37,22,45,25,34,34,33,25,31,29,19,29,22,40,31,37,14,26,22,29,33,32,15,10,25,30,25,24,19,15,31,30,34,19,9,37,20,23,31,13,19,27,31,24,17,18,24,32,26,29,36,29,23,19,34,31,35,39,32,31,21,2"
aep3	"40,30,36,33,27"
afg1	"11,23,33,28,27"
afg3	"4,4,4,6,7,7,7,7,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,1"
afi1	"17,13,6,37,17"
afr1	"26,17,19,21,15,40,21,18,25,32"
aft1	"4,35,17,12,15,4,35,17,12,15"
aft2	"25,19,27,26,23,14,25,13,18,35,32,8,31,26,36,43,29,42,6,45,23,40,39,32"
aga1	"17,28,29,42,17,29,21,28,21,47,23,37,16,13,35,32,40,12,23,27,26,16,19,42,26"
aga2	"30,17,24,16,22,30,17,24,16,22"
agc1	"34,33,29,46,44,34,45,44,21,19,7,51,48,39,24,21,51,23,31,29,40,51,27,36,56,34,33,26,33,44,24,49,22,49,34,44,47,34,13,53,34,21,21,23,23,24,16,31,21,23,22,12,23,16,27,35,42,29,33,40,20,27,27,24,26,29,35,21,48,14,12,29,11,26,32,15,35,47,24,41,26,17,33,26,36,2"
age1	"25,40,34,12,28,8,38,22,27,31,25,32,35,37,29,33,40,46,35,45,27,15,42,24,34,39,26,11,41,32,14,42,33,33,31,40,33,6,35,14,20,24,35,14,33,10,26,32,31,14,34,21,33,36,25,33,32,12,17,46,26,23,39,34,14"
age2	"24,22,21,16,17"
agp1	"24,19,16,20,26,22,20,22,21,26,37,25,29,14,28,22,23,31,30,20,14,6,17,14,36,23,26,25,17,15,13,22,34,33,33,28,16,24,14,19,18,16,23,22,18"
agp2	"40,28,29,27,22"
agp3	"45,41,33,17,1,42,20,24,17,33,21,41,15,19,25,29,28,36,25,28,23,29,21,29,24"
agx1	"22,32,34,31,36,21,27,28,30,34,30,40,39,29,32,24,36,34,42,20,27,18,33,24,10,25,19,18,15,24,18,15,18,33,18,19,22,24,27,21,12,39,32,26,36,31,16,35,43,26,30,25,43,40,26,40,25,41,22,46,32,40,23,41,36,46,18,25,28,22,30,28,18,24,34,32,19,17,26,22,27,19,18,36,16,"
aha1	"23,18,27,54,20"
ahc1	"30,40,14,21,19"
ahc2	"25,12,43,39,44"
ahp1	"27,20,28,25,23,18,42,20,17,13,15,29,15,8,44,15,39,31,27,17,55,25,18,38,30"
aht1	"23,19,34,20,10,61,26,3,53,42,27,26,31,37,16,23,19,34,20,10,59,26,3,53,42"
aif1	"38,37,28,38,31,43,28,34,34,44,29,42,42,15,28,27,24,17,35,22,38,37,28,38,31,43,28,34,34,44,29,42,42,15,28,27,24,17,35,22,20,2,14,24,29,26,40,37,34,42,33,22,37,44,42,15,31,8,18,33,30,35,25,33,43,19,39,35,46,45,28,33,26,18,50,32,39,43,30,24,10,10,24,16"
aim10	"16,33,18,25,37"
aim13	"4,25,21,25,26"
aim14	"19,26,20,23,28"
aim20	"9,15,18,20,20,14,16,21,29,21,20,27,31,20,16,48,24,27,31,53,20,27,31,20,16,14,16,21,29,21"
aim21	"30,29,34,14,30,25,32,14,34,22,39,32,42,26,31,16,31,33,54,22,20,24,19,33,38"
aim22	"26,27,27,15,37,40,32,21,25,35,30,9,15,18,22,22,35,32,26,26,26,27,27,15,37,40,32,21,25,35,30,9,15,18,22,22,35,32,26,26,22,24,11,17,19"
aim23	"13,11,25,39,17"
aim25	"46,15,19,21,47,24,35,26,37,16,25,19,25,31,24,35,23,34,34,29,17,22,27,33,24"
aim26	"22,24,17,28,20"
aim29	"21,36,20,31,28,26,42,18,37,19,25,22,35,43,29,33,23,33,45,14,27,20,30,23,18"
aim3	"30,48,36,28,26"
aim31	"21,16,39,30,57,21,16,39,30,57"
aim32	"37,20,18,45,54,30,18,43,40,14,31,18,40,34,19,36,33,33,34,27,37,20,18,45,54,30,18,43,40,14,31,18,40,34,19,36,33,33,34,27,23,42,48,33,26,39,32,29,42,31,34,50,18,15,28,28,32,7,33,12,46,42,21,39,36,46,27,34,33,25,39,48,9,48,5,22,45,44,53,13,28,23,23,20,32,28,"
aim34	"27,23,13,21,50,27,23,13,21,50"
aim37	"18,25,27,22,25"
aim38	"37,18,36,17,32"
aim39	"24,41,38,21,31"
aim41	"19,12,25,33,33"
aim44	"14,39,33,14,39,38,45,27,27,27,26,41,48,48,16,13,33,42,35,24,18,35,25,38,32"
aim45	"33,40,53,38,40,39,41,18,31,31,16,18,30,53,33,28,46,20,39,20,22,17,14,30,12"
aim7	"31,22,20,25,15,20,30,22,21,32"
aim9	"32,26,26,23,14,12,31,42,21,36,33,43,45,53,51,34,23,37,30,11,32,29,32,32,16,26,11,14,29,29,26,28,33,17,28,23,39,26,24,20,21,31,32,19"
aip1	"19,13,24,58,32"
air1	"20,29,32,32,32,24,43,43,21,32,25,18,18,26,14"
air2	"23,14,30,28,23"
akl1	"23,29,37,25,38,48,10,39,26,27,21,38,36,34,18,21,37,30,14,29,27,26,23,20,20,22,19,16,20,23,27,19,21,26,43,32,23,23,25,23"
akr1	"4,3,24,29,9,16,10,4,5,3,19,10,13,15,12,5,17,5,10,11,34,19,12,15,41,15,25,23,32,25,10,26,31,18,25,30,19,25,26,28,13,34,29,25,22,21,12,38,15,25,25,29,34,25,24,27,32,35,9,16,19,22,28,15,16,25,18,13,25,23,33,11,9,29,30,24,25,27,7,3,20,9,9,17,6,20,18,17,8,14,1"
akr2	"17,30,40,22,36"
alb1	"53,51,45,27,41,26,35,31,27,19,33,21,43,50,20,16,43,45,19,56,44,13,30,17,19"
ald2	"27,27,36,36,32"
ald3	"27,25,35,35,54,27,28,21,20,22"
ald4	"20,17,55,41,44,24,13,26,26,26,36,33,30,20,43,18,39,25,20,51,31,39,38,26,20"
ald5	"15,29,20,26,13,21,17,31,46,32,35,33,23,21,20,54,17,40,48,23,27,14,19,17,26"
ald6	"15,14,23,16,17,25,31,23,21,22,26,15,34,16,22,20,26,24,20,30,19,26,35,29,14"
ale1	"15,35,30,5,36,36,17,29,25,13,56,19,11,52,12,23,13,13,17,13"
alf1	"35,7,24,19,23"
alg12	"3,3,9,8,4,14,8,10,14,9,10,17,10,11,19,10,12,20,12,13,20,13,13,21,14,15,22,14,16,23,14,16,23,15,16,24,16,17,24,16,17,25,17,18,25,17,18,25,18,18,26,18,19,26,18,19,26,18,19,26,19,20,26,19,20,27,20,20,27,20,21,27,20,21,28,20,21,29,20,22,30,21,22,30,21,22,31,2"
alg3	"31,38,42,29,25,29,30,40,46,23,34,29,23,23,19,22,29,20,17,16,40,39,44,23,29,28,32,40,3,15,26,38,21,34,31,48,37,29,31,24,48,11,25,16,18,34,37,40,17,27,39,48,36,30,33,20,38,46,20,41,30,17,45,40,39,18,33,32,25,28,40,31,29,35,37,22,43,32,30,32,23,31,31,32,45,3"
alg5	"36,37,18,28,39,37,30,44,38,25,32,44,37,30,35,25,20,27,10,32,48,15,21,27,37"
alg6	"14,10,22,18,23,22,24,23,24,23,26,24,26,25,26,25,30,25,30,26,31,28,31,28,31,30,32,30,32,31,33,33,35,34,37,36,38,37,39,41,41,43,48,50,51"
alg8	"16,17,22,13,12"
alg9	"27,17,24,16,26,31,21,30,35,22,27,22,18,28,27,31,25,19,28,22,30,25,31,9,31,33,18,18,25,34,38,33,19,22,21,27,43,25,16,15,25,32,20,24,16,32,32,42,33,38,18,26,28,31,21,36,27,27,31,16,26,32,34,32,33,16,24,21,32,21,26,26,33,15,32,25,23,26,23,26,37,19,16,23,25,2"
alk1	"23,23,26,23,17,23,23,26,23,17"
alk2	"22,27,28,29,32,45,41,40,21,14,20,37,30,39,36,22,27,28,29,32"
alo1	"45,10,33,36,50,35,35,19,48,17,3,31,28,20,16,32,45,1,17,33,22,18,35,41,26,16,17,21,14,24,24,14,26,28,19,24,29,17,29,14,27,27,30,25,38"
alp1	"33,31,25,19,12,29,40,49,33,35,35,32,17,21,21,28,38,28,38,29,45,35,21,28,24"
alr2	"4,25,19,44,42"
alt1	"25,5,14,20,17"
alt2	"15,6,9,17,17,33,28,14,33,25"
aly1	"14,22,16,12,13"
aly2	"30,37,31,39,36,29,36,31,31,44,18,34,28,29,34,13,26,40,39,35,14,34,56,36,31,38,43,15,52,28,23,22,38,33,44,31,35,18,19,23,48,20,15,20,17"
ama1	"15,27,34,21,34,29,38,14,32,37,33,33,38,23,43,15,27,34,21,34"
amd1	"39,52,36,43,29,6,22,17,16,24,30,19,22,31,41,25,32,48,23,32,46,16,20,6,29,40,23,42,45,37,46,33,30,15,15,20,7,28,19,24,48,22,30,20,15"
amd2	"21,17,23,20,13,14,23,50,5,37,22,39,23,47,34,21,19,24,26,22,22,24,23,19,30,22,16,24,19,16"
aml1	"12,9,25,26,8"
